symbol,datetime,open,high,low,close,volume,amount
00135.HK,2001-11-28,0.59,0.59,0.58,0.58,1830000.0,0.0
00135.HK,2001-11-29,0.58,0.59,0.58,0.58,2930000.0,0.0
00135.HK,2001-11-30,0.58,0.59,0.58,0.58,2840860.0,0.0
00135.HK,2001-12-03,0.58,0.61,0.58,0.61,8290000.0,0.0
00135.HK,2001-12-04,0.6,0.62,0.6,0.61,8270000.0,0.0
00135.HK,2001-12-05,0.62,0.62,0.61,0.61,4840005.0,0.0
00135.HK,2001-12-06,0.62,0.62,0.61,0.61,7044995.0,0.0
00135.HK,2001-12-07,0.6,0.61,0.6,0.6,3730000.0,0.0
00135.HK,2001-12-10,0.6,0.61,0.6,0.6,2090000.0,0.0
00135.HK,2001-12-11,0.6,0.61,0.6,0.61,2980000.0,0.0
00135.HK,2001-12-12,0.61,0.61,0.59,0.6,5220000.0,0.0
00135.HK,2001-12-13,0.6,0.6,0.58,0.58,4350000.0,0.0
00135.HK,2001-12-14,0.58,0.59,0.57,0.58,4090000.0,0.0
00135.HK,2001-12-17,0.58,0.59,0.58,0.58,1030000.0,0.0
00135.HK,2001-12-18,0.59,0.59,0.58,0.58,1040000.0,0.0
00135.HK,2001-12-19,0.57,0.58,0.57,0.57,2020000.0,0.0
00135.HK,2001-12-20,0.56,0.58,0.56,0.57,2120000.0,0.0
00135.HK,2001-12-21,0.56,0.58,0.56,0.57,1330000.0,0.0
00135.HK,2001-12-24,0.57,0.58,0.57,0.58,635000.0,0.0
00135.HK,2001-12-27,0.58,0.59,0.57,0.58,1510000.0,0.0
00135.HK,2001-12-28,0.59,0.59,0.58,0.59,2920000.0,0.0
00135.HK,2001-12-31,0.58,0.58,0.58,0.58,590000.0,0.0
00135.HK,2002-01-02,0.58,0.59,0.58,0.59,1110000.0,0.0
00135.HK,2002-01-03,0.59,0.61,0.59,0.6,2700000.0,0.0
00135.HK,2002-01-04,0.6,0.62,0.59,0.61,7550000.0,0.0
00135.HK,2002-01-07,0.61,0.63,0.6,0.62,14090000.0,0.0
00135.HK,2002-01-08,0.61,0.62,0.59,0.6,12058000.0,0.0
00135.HK,2002-01-09,0.6,0.6,0.57,0.58,5720000.0,0.0
00135.HK,2002-01-10,0.58,0.59,0.57,0.59,3310000.0,0.0
00135.HK,2002-01-11,0.58,0.6,0.58,0.59,2030000.0,0.0
00135.HK,2002-01-14,0.58,0.59,0.58,0.58,1480000.0,0.0
00135.HK,2002-01-15,0.57,0.58,0.57,0.57,2880000.0,0.0
00135.HK,2002-01-16,0.58,0.59,0.57,0.57,4300000.0,0.0
00135.HK,2002-01-17,0.57,0.58,0.57,0.58,2595000.0,0.0
00135.HK,2002-01-18,0.57,0.58,0.57,0.57,1530000.0,0.0
