symbol,datetime,open,high,low,close,volume,amount
300354.SZ,2015-01-05,22.89,22.89,21.63,21.95,8420.92,18503.63
300354.SZ,2015-01-06,21.97,23.18,21.89,23.1,10233.35,23134.67
300354.SZ,2015-01-07,23.14,23.15,22.52,22.77,7039.57,15990.8
300354.SZ,2015-01-08,22.78,23.52,22.66,23.25,12541.92,28990.22
300354.SZ,2015-01-09,23.2,23.86,22.75,23.3,10935.31,25631.13
300354.SZ,2015-01-12,23.23,24.7,22.81,24.38,19002.44,46011.7
300354.SZ,2015-01-13,24.61,24.93,24.41,24.72,11321.96,27990.03
300354.SZ,2015-01-14,24.58,26.0,24.28,25.84,17065.0,43482.97
300354.SZ,2015-01-15,25.99,26.2,24.5,24.78,16960.2,42649.56
300354.SZ,2015-01-16,24.7,25.35,24.1,25.21,16343.76,40711.73
300354.SZ,2015-01-19,24.7,26.2,24.2,25.0,21849.96,55688.86
300354.SZ,2015-01-20,25.35,26.6,25.0,26.49,19087.09,49521.19
300354.SZ,2015-01-21,26.75,27.48,26.2,26.92,16640.57,44695.3
300354.SZ,2015-01-22,26.92,27.55,26.92,27.39,12546.69,34242.11
300354.SZ,2015-01-23,27.45,28.99,27.2,27.98,19111.86,53422.69
300354.SZ,2015-01-26,27.71,29.0,27.7,28.35,13425.97,38127.59
300354.SZ,2015-01-27,27.98,29.38,27.2,28.61,32272.61,91610.98
300354.SZ,2015-01-28,28.5,30.46,28.02,30.44,22800.36,68040.96
300354.SZ,2015-01-29,30.18,30.4,29.34,30.01,16748.45,50116.47
300354.SZ,2015-01-30,29.87,30.3,29.42,29.99,13875.23,41532.06
300354.SZ,2015-02-02,29.49,29.88,28.8,29.35,9947.57,29223.07
300354.SZ,2015-02-03,29.35,30.29,29.0,29.64,23571.31,69502.13
300354.SZ,2015-02-04,29.4,29.95,29.25,29.59,7109.05,20951.87
300354.SZ,2015-02-05,29.59,30.29,29.02,29.9,11282.65,33843.31
300354.SZ,2015-02-06,29.68,32.08,29.68,30.78,15148.23,46048.43
300354.SZ,2015-02-09,30.8,31.49,29.5,30.03,11943.86,35821.7
300354.SZ,2015-02-10,29.99,30.9,29.08,29.17,10217.98,30121.73
300354.SZ,2015-02-11,29.28,30.03,29.04,29.78,7639.85,22654.11
300354.SZ,2015-02-12,29.47,30.69,29.47,30.69,9373.04,28275.91
300354.SZ,2015-02-13,30.98,31.93,30.69,31.77,13510.15,42639.86
300354.SZ,2015-02-16,31.7,34.95,31.67,34.95,19586.35,66522.16
300354.SZ,2015-02-17,34.81,37.9,34.05,35.89,15211.17,54484.37
300354.SZ,2015-02-25,38.0,39.48,38.0,39.48,9676.01,37747.26
300354.SZ,2015-02-26,41.01,43.43,39.91,42.36,44343.37,186164.05
300354.SZ,2015-02-27,41.51,42.28,40.01,42.28,22373.39,92183.83
300354.SZ,2015-03-02,41.92,42.46,41.0,41.5,22545.67,93863.51
300354.SZ,2015-03-03,41.52,45.5,41.3,43.8,22631.81,97618.58
300354.SZ,2015-03-04,42.43,43.8,41.05,43.11,16160.2,68715.4
300354.SZ,2015-03-05,42.69,45.95,42.66,44.01,22853.76,102083.74
300354.SZ,2015-03-06,43.0,44.66,41.52,42.4,11507.27,49197.77
300354.SZ,2015-03-09,43.08,46.6,42.55,46.5,18806.45,84989.48
300354.SZ,2015-03-10,46.0,47.5,44.01,45.79,13570.2,62161.23
300354.SZ,2015-03-11,46.0,47.15,44.97,46.97,7985.57,37088.56
300354.SZ,2015-03-12,46.0,46.8,44.26,45.8,11544.58,52281.13
300354.SZ,2015-03-13,45.7,46.99,44.99,46.15,9736.34,45255.13
300354.SZ,2015-03-16,46.62,50.77,45.61,50.77,29741.7,145129.83
300354.SZ,2015-03-17,52.49,54.2,47.0,50.0,37266.47,192158.14
300354.SZ,2015-03-18,49.89,51.24,48.57,50.65,14413.38,71819.32
300354.SZ,2015-03-19,49.9,52.49,48.65,50.9,18604.83,94365.81
300354.SZ,2015-03-20,50.1,55.99,50.1,55.99,30704.63,160966.03
300354.SZ,2015-03-23,57.85,57.85,54.93,56.66,17799.29,101178.6
300354.SZ,2015-03-24,58.8,62.33,56.7,62.33,26827.88,161740.13
300354.SZ,2015-03-25,61.89,66.5,60.3,62.1,24898.93,158897.19
300354.SZ,2015-03-26,60.25,66.0,59.0,62.6,29658.47,188050.88
300354.SZ,2015-03-27,62.45,68.86,60.51,68.22,21648.76,143009.44
300354.SZ,2015-03-30,67.12,67.39,61.4,63.89,18803.19,119688.46
300354.SZ,2015-03-31,62.8,64.35,59.54,62.22,12831.52,79609.47
300354.SZ,2015-04-01,61.81,66.99,60.88,65.3,15216.96,97490.64
300354.SZ,2015-04-02,65.2,66.5,62.8,64.03,13063.63,83481.99
300354.SZ,2015-04-03,64.03,64.16,62.0,63.01,10019.52,63068.04
300354.SZ,2015-04-07,63.0,63.77,61.95,62.91,18790.9,118173.73
300354.SZ,2015-04-08,63.1,68.02,63.1,67.8,17259.4,113170.89
300354.SZ,2015-04-09,66.87,73.5,62.01,71.18,13444.99,91716.67
300354.SZ,2015-04-10,67.27,74.35,67.27,70.0,8815.44,62788.44
300354.SZ,2015-04-13,70.0,72.51,68.05,69.2,8314.51,57852.6
300354.SZ,2015-04-14,69.21,73.0,65.0,70.0,10060.37,69269.54
