symbol,datetime,open,high,low,close,volume,amount
562820.SH,2026-06-05,3.249,3.288,3.133,3.155,116026.0,37223.92
562820.SH,2026-06-08,2.915,3.088,2.915,2.992,106301.0,32094.14
562820.SH,2026-06-09,3.064,3.138,3.016,3.134,105427.0,32449.25
562820.SH,2026-07-07,3.723,3.895,3.713,3.784,16419800.0,782940000.0
562820.SH,2026-07-08,3.815,3.92,3.674,3.785,20786600.0,960480000.0
562820.SH,2026-07-13,4.119,4.217,3.865,3.87,22751300.0,996870000.0
562820.SH,2026-07-13,3.74,3.906,3.619,3.649,17700000.0,841590000.0
562820.SH,2026-07-13,3.74,3.906,3.619,3.649,17812300.0,847150000.0
562820.SH,2026-07-15,3.639,3.732,3.46,3.716,16654600.0,840270000.0
562820.SH,2026-07-15,3.639,3.732,3.46,3.716,16654600.0,840270000.0
562820.SH,2026-07-15,0.0,3.761,3.761,3.761,0.0,0.0
