symbol,datetime,open,high,low,close,volume,amount
563630,2025-07-01,0.998,1.002,0.996,1.001,967865.0,96708675.0
563630,2025-07-02,1.0,1.002,0.997,1.0,144479.0,14451164.0
563630,2025-07-03,1.0,1.007,0.999,1.004,468380.0,46983115.0
563630,2025-07-04,1.004,1.013,1.002,1.006,285039.0,28754904.0
563630,2025-07-07,1.002,1.003,0.999,1.0,67851.0,6787068.0
563630,2025-07-08,1.003,1.011,1.002,1.009,179744.0,18118270.0
563630,2025-07-09,1.009,1.016,1.009,1.01,195986.0,19846147.0
563630,2025-07-10,1.005,1.018,1.005,1.01,99011.0,10038015.0
563630,2025-07-11,1.013,1.025,1.011,1.02,92144.0,9390564.0
563630,2025-07-14,1.02,1.021,1.014,1.02,31103.0,3167838.0
563630,2025-07-15,1.016,1.024,1.016,1.02,46418.0,4735734.0
563630,2025-07-16,1.016,1.022,1.015,1.016,15039.0,1530353.0
563630,2025-07-17,1.016,1.031,1.016,1.031,58865.0,6030334.0
563630,2025-07-18,1.031,1.036,1.024,1.035,45935.0,4746263.0
563630,2025-07-21,1.035,1.04,1.034,1.04,21290.0,2205617.0
563630,2025-07-22,1.04,1.049,1.039,1.049,39216.0,4103258.0
563630,2025-07-23,1.052,1.054,1.048,1.049,34446.0,3620364.0
563630,2025-07-24,1.049,1.057,1.048,1.057,21811.0,2290415.0
563630,2025-07-25,1.057,1.057,1.049,1.05,20041.0,2108564.0
563630,2025-07-28,1.051,1.057,1.051,1.057,17223.0,1818567.0
563630,2025-07-29,1.06,1.06,1.056,1.06,9596.0,1014722.0
563630,2025-07-30,1.04,1.067,1.04,1.061,6424.0,682586.0
563630,2025-07-31,1.05,1.059,1.042,1.042,28197.0,2966443.0
563630,2025-08-01,1.057,1.146,1.035,1.055,5455.0,568534.0
563630,2025-08-04,1.043,1.055,1.039,1.043,8114.0,843896.0
563630,2025-08-05,1.045,1.049,1.045,1.048,15023.0,1574427.0
563630,2025-08-06,1.055,1.055,1.049,1.053,14412.0,1515366.0
563630,2025-08-07,1.053,1.053,1.049,1.053,6716.0,706794.0
563630,2025-08-08,1.05,1.054,1.05,1.05,4340.0,457045.0
563630,2025-08-11,1.053,1.058,1.052,1.057,10418.0,1098316.0
563630,2025-08-12,1.058,1.061,1.031,1.059,19153.0,2027280.0
563630,2025-08-13,1.066,1.074,1.066,1.073,14291.0,1530054.0
563630,2025-08-14,1.074,1.091,1.071,1.076,50760.0,5479971.0
563630,2025-08-15,1.075,1.083,1.067,1.081,3732.0,401053.0
563630,2025-08-18,1.053,1.123,1.053,1.093,32812.0,3599885.0
563630,2025-08-19,1.101,1.15,1.089,1.089,36585.0,4044313.0
563630,2025-08-20,1.09,1.1,1.085,1.098,16028.0,1745501.0
563630,2025-08-21,1.109,1.114,1.083,1.102,11325.0,1250607.0
563630,2025-08-22,1.086,1.122,1.086,1.122,15892.0,1768373.0
563630,2025-08-25,1.131,1.152,1.127,1.152,19523.0,2229054.0
563630,2025-08-26,1.152,1.157,1.137,1.15,23737.0,2730706.0
563630,2025-08-27,1.149,1.159,1.124,1.135,26886.0,3096586.0
563630,2025-08-28,1.135,1.159,1.13,1.151,35994.0,4107595.0
563630,2025-08-29,1.153,1.177,1.153,1.175,32171.0,3768661.0
563630,2025-09-01,1.187,1.187,1.164,1.178,14456.0,1693940.0
563630,2025-09-02,1.171,1.183,1.153,1.163,12508.0,1467477.0
563630,2025-09-03,1.153,1.172,1.145,1.156,10506.0,1211991.0
563630,2025-09-04,1.13,1.162,1.116,1.13,61510.0,7010122.0
563630,2025-09-05,1.13,1.158,1.111,1.157,11552.0,1319465.0
563630,2025-09-08,1.163,1.165,1.148,1.16,3702.0,427663.0
563630,2025-09-09,1.163,1.163,1.149,1.155,3395.0,393607.0
563630,2025-09-10,1.135,1.169,1.135,1.161,45589.0,5287526.0
563630,2025-09-11,1.16,1.186,1.154,1.186,16914.0,1976432.0
563630,2025-09-12,1.186,1.19,1.178,1.178,8648.0,1024288.0
563630,2025-09-15,1.189,1.191,1.183,1.186,14183.0,1682951.0
563630,2025-09-16,1.191,1.191,1.176,1.189,18528.0,2192636.0
563630,2025-09-17,1.171,1.195,1.17,1.195,22002.0,2616090.0
563630,2025-09-18,1.196,1.203,1.178,1.187,14723.0,1753771.0
563630,2025-09-19,1.178,1.208,1.178,1.183,4301.0,509661.0
563630,2025-09-22,1.184,1.187,1.18,1.187,14315.0,1695032.0
563630,2025-09-23,1.177,1.208,1.167,1.193,9891.0,1170501.0
563630,2025-09-24,1.175,1.202,1.175,1.2,6446.0,770802.0
563630,2025-09-25,1.203,1.219,1.195,1.217,20184.0,2447966.0
563630,2025-09-26,1.202,1.224,1.2,1.201,5978.0,720945.0
563630,2025-09-29,1.193,1.224,1.193,1.215,3398.0,411425.0
563630,2025-09-30,1.224,1.227,1.211,1.226,3685.0,449688.0
563630,2025-10-09,1.228,1.247,1.228,1.244,6418.0,794636.0
563630,2025-10-10,1.228,1.27,1.211,1.243,28696.0,3506629.0
563630,2025-10-13,1.18,1.22,1.18,1.212,12488.0,1504430.0
563630,2025-10-14,1.224,1.224,1.189,1.19,8500.0,1023255.0
563630,2025-10-15,1.177,1.21,1.177,1.203,2595.0,310855.0
563630,2025-10-16,1.175,1.214,1.175,1.212,2937.0,353655.0
563630,2025-10-17,1.222,1.222,1.175,1.188,6552.0,779627.0
563630,2025-10-20,1.187,1.19,1.179,1.185,4158.0,493304.0
563630,2025-10-21,1.189,1.205,1.189,1.202,2714.0,325587.0
563630,2025-10-22,1.194,1.202,1.194,1.198,4329.0,519241.0
563630,2025-10-23,1.195,1.203,1.185,1.203,4091.0,487770.0
563630,2025-10-24,1.211,1.22,1.21,1.22,6891.0,837480.0
563630,2025-10-27,1.224,1.24,1.224,1.235,4333.0,534254.0
563630,2025-10-28,1.235,1.238,1.231,1.233,6404.0,790941.0
563630,2025-10-29,1.238,1.247,1.237,1.244,4623.0,573679.0
563630,2025-10-30,1.246,1.25,1.235,1.239,1992.0,247762.0
563630,2025-10-31,1.23,1.235,1.222,1.222,4614.0,566250.0
563630,2025-11-03,1.217,1.228,1.212,1.22,4530.0,550678.0
563630,2025-11-04,1.21,1.241,1.201,1.208,2346.0,283369.0
563630,2025-11-05,1.209,1.216,1.195,1.212,3545.0,429194.0
563630,2025-11-06,1.219,1.23,1.213,1.229,13692.0,1673656.0
563630,2025-11-07,1.228,1.235,1.226,1.228,3049.0,374675.0
563630,2025-11-10,1.226,1.229,1.22,1.229,4126.0,505473.0
563630,2025-11-11,1.23,1.235,1.217,1.218,254.0,31137.0
563630,2025-11-12,1.214,1.225,1.212,1.219,5591.0,678805.0
563630,2025-11-13,1.214,1.24,1.214,1.24,6001.0,732787.0
563630,2025-11-14,1.212,1.231,1.212,1.213,2430.0,296263.0
563630,2025-11-17,1.211,1.211,1.205,1.209,3571.0,430983.0
563630,2025-11-18,1.209,1.209,1.2,1.201,13887.0,1672986.0
563630,2025-11-19,1.201,1.209,1.201,1.203,10084.0,1214021.0
563630,2025-11-20,1.206,1.212,1.199,1.199,6312.0,758997.0
563630,2025-11-21,1.187,1.187,1.164,1.168,8147.0,955394.0
563630,2025-11-24,1.166,1.166,1.16,1.162,6327.0,736257.0
563630,2025-11-25,1.162,1.199,1.162,1.179,3749.0,441435.0
563630,2025-11-26,1.197,1.197,1.177,1.181,1342.0,158452.0
563630,2025-11-27,1.185,1.196,1.18,1.18,26627.0,3162677.0
563630,2025-11-28,1.193,1.193,1.182,1.186,25762.0,3050694.0
563630,2025-12-01,1.199,1.224,1.181,1.203,8209.0,983920.0
563630,2025-12-02,1.203,1.219,1.193,1.198,19544.0,2340674.0
563630,2025-12-03,1.218,1.218,1.186,1.188,12314.0,1467201.0
563630,2025-12-04,1.206,1.206,1.185,1.193,13496.0,1605989.0
563630,2025-12-05,1.193,1.21,1.188,1.198,6040.0,722481.0
563630,2025-12-08,1.221,1.221,1.198,1.211,19885.0,2410220.0
563630,2025-12-09,1.212,1.224,1.203,1.212,16530.0,2000554.0
563630,2025-12-10,1.219,1.219,1.193,1.2,30384.0,3638825.0
563630,2025-12-11,1.2,1.21,1.191,1.195,11458.0,1374313.0
563630,2025-12-12,1.2,1.203,1.19,1.203,16683.0,1993808.0
