ts_code,trade_date,open,high,low,close,pre_close,vol,amount,pct_chg
002418.SZ,2016-04-01,26.99,28.22,26.60,28.15,27.19,169523.82,463399.76,3.53
600021.SH,2016-04-01,11.64,11.66,11.39,11.59,11.66,111277.24,128208.33,-0.60
000099.SZ,2016-04-01,14.00,14.03,12.92,13.60,14.11,283586.85,381123.11,-3.61
000762.SZ,2016-04-01,22.55,22.97,21.76,22.52,22.88,438676.19,981230.51,-1.57
000017.SZ,2016-04-01,12.55,12.66,12.13,12.54,12.49,105417.27,131038.06,0.40
000628.SZ,2016-04-01,13.19,13.27,12.50,12.83,13.20,70665.86,90751.09,-2.80
002444.SZ,2016-04-01,16.60,16.77,16.03,16.33,16.91,246649.60,404281.26,-3.43
300059.SZ,2016-04-01,44.00,44.07,42.19,43.00,44.30,707619.08,3047814.39,-2.93
000895.SZ,2016-04-01,21.15,21.28,20.72,21.11,21.11,80042.09,168195.57,0.00
000721.SZ,2016-04-01,6.84,6.89,6.65,6.80,6.88,130175.44,88468.61,-1.16
000065.SZ,2016-04-01,28.30,28.51,27.35,27.92,28.55,36925.80,102908.54,-2.21
000816.SZ,2016-04-01,6.51,6.55,6.37,6.47,6.55,266985.18,171975.53,-1.22
000949.SZ,2016-04-01,4.33,4.44,4.25,4.40,4.33,413905.21,180824.23,1.62
000088.SZ,2016-04-01,7.15,7.15,6.90,7.01,7.21,139832.65,97988.50,-2.77
000516.SZ,2016-04-01,17.07,17.47,17.00,17.35,17.06,340322.26,587251.86,1.70
000728.SZ,2016-04-01,18.45,18.64,17.84,18.18,18.52,376550.05,684778.65,-1.84
300087.SZ,2016-04-01,11.28,11.46,11.17,11.25,11.48,69217.88,78199.59,-2.00
000877.SZ,2016-04-01,6.51,6.62,6.42,6.56,6.53,180444.50,117557.09,0.46
000665.SZ,2016-04-01,14.30,14.40,13.93,14.21,14.33,63668.45,90090.67,-0.84
000028.SZ,2016-04-01,63.77,63.77,61.31,61.89,63.78,18609.89,115491.76,-2.96
000999.SZ,2016-04-01,23.07,23.11,22.52,22.90,23.18,32301.50,73786.40,-1.21
300084.SZ,2016-04-01,10.10,10.19,9.72,10.07,10.15,110000.86,109632.87,-0.79
000821.SZ,2016-04-01,15.75,16.10,15.42,16.07,15.94,96247.88,151844.65,0.82
000751.SZ,2016-04-01,5.77,5.95,5.73,5.90,5.85,659151.85,386137.28,0.85
600033.SH,2016-04-01,3.44,3.51,3.41,3.48,3.47,189956.40,65823.24,0.29
000909.SZ,2016-04-01,19.81,21.69,19.62,20.61,20.20,426043.55,881186.46,2.03
000552.SZ,2016-04-01,8.40,8.63,8.30,8.45,8.48,284872.36,241181.01,-0.35
000421.SZ,2016-04-01,7.57,7.59,7.43,7.57,7.56,48990.78,36792.44,0.13
000921.SZ,2016-04-01,7.61,7.62,7.41,7.53,7.62,55678.90,41751.96,-1.18
000551.SZ,2016-04-01,9.02,9.07,8.75,9.02,9.07,95000.48,84521.77,-0.55
600094.SH,2016-04-01,7.48,7.73,7.47,7.61,7.53,599886.22,455245.72,1.06
000768.SZ,2016-04-01,19.16,19.39,18.72,19.16,19.35,262371.53,500354.37,-0.98
600067.SH,2016-04-01,6.57,6.70,6.55,6.70,6.61,208233.54,138175.96,1.36
000524.SZ,2016-04-01,13.05,13.44,12.89,13.12,13.07,42720.84,56065.51,0.38
000716.SZ,2016-04-01,15.78,15.93,15.30,15.59,15.94,152362.58,237645.16,-2.20
002432.SZ,2016-04-01,18.40,18.41,17.50,17.88,18.59,172061.38,307724.15,-3.82
300235.SZ,2016-04-01,25.65,25.70,24.75,25.25,25.84,53319.24,133984.81,-2.28
000923.SZ,2016-04-01,14.50,15.10,14.34,14.83,14.56,84549.44,124979.98,1.85
000700.SZ,2016-04-01,22.25,22.73,21.60,21.95,22.49,120092.22,264694.21,-2.40
000759.SZ,2016-04-01,7.49,7.60,7.41,7.56,7.53,32446.46,24425.44,0.40
000973.SZ,2016-04-01,9.01,9.09,8.76,8.88,9.10,494354.36,439318.96,-2.42
600116.SH,2016-04-01,34.10,35.68,32.83,35.42,34.63,499720.74,1714213.29,2.28
600089.SH,2016-04-01,9.11,9.13,8.90,9.09,9.11,267708.89,241638.65,-0.22
000878.SZ,2016-04-01,11.35,11.58,11.27,11.56,11.36,484934.91,556238.63,1.76
000789.SZ,2016-04-01,7.36,7.55,7.32,7.48,7.42,238700.81,177666.08,0.81
000428.SZ,2016-04-01,7.77,8.18,7.60,7.80,7.77,242818.53,190620.81,0.39
002429.SZ,2016-04-01,8.64,8.69,8.32,8.59,8.72,178105.82,152116.63,-1.49
000408.SZ,2016-04-01,13.90,14.12,13.80,14.10,14.05,39302.88,54869.98,0.36
000620.SZ,2016-04-01,7.56,7.59,7.42,7.56,7.50,82308.32,61763.13,0.80
000572.SZ,2016-04-01,5.61,5.61,5.40,5.52,5.62,474822.06,260998.22,-1.78
000061.SZ,2016-04-01,13.07,13.10,12.84,13.00,13.06,75036.68,97250.38,-0.46
000670.SZ,2016-04-01,11.18,11.26,10.80,11.21,11.24,210678.89,232439.69,-0.27
000568.SZ,2016-04-01,24.45,24.87,24.16,24.48,24.65,74778.53,183855.94,-0.69
000035.SZ,2016-04-01,13.11,13.36,13.02,13.35,13.15,128704.47,170121.96,1.52
000650.SZ,2016-04-01,7.81,8.05,7.74,8.05,7.88,223547.16,175243.95,2.16
