code,trade_date,open,high,low,close,pre_close,vol,amount
510180,2006-07-03,0.2560,0.2850,0.2560,0.2850,,22226.00,7190178.00
159901,2006-07-03,0.5530,0.5650,0.5500,0.5610,,256853.00,36180768.90
510050,2006-07-03,0.3670,0.3910,0.3670,0.3880,,667142.00,76854054.00
510050,2006-07-04,0.3930,0.3950,0.3650,0.3770,,901567.00,104003153.00
159901,2006-07-04,0.5620,0.5650,0.5500,0.5540,,216339.00,30464461.08
510180,2006-07-04,0.2880,0.2910,0.2660,0.2800,,58398.00,18854219.00
159901,2006-07-05,0.5540,0.5540,0.5400,0.5490,,225637.00,31265095.90
510180,2006-07-05,0.2800,0.2800,0.2450,0.2640,,19117.00,6093317.00
510050,2006-07-05,0.3850,0.3850,0.2810,0.3500,,557074.00,62467425.00
510050,2006-07-06,0.3460,0.3680,0.3460,0.3670,,355872.00,40344758.00
510180,2006-07-06,0.2630,0.2800,0.2630,0.2800,,10413.00,3362677.00
159901,2006-07-06,0.5490,0.5640,0.5490,0.5630,,178664.00,25138294.48
510180,2006-07-07,0.2870,0.2870,0.2710,0.2740,,5913.00,1914056.00
159901,2006-07-07,0.5650,0.5700,0.5570,0.5590,,119488.00,16874231.34
510050,2006-07-07,0.3670,0.3690,0.3500,0.3550,,227442.00,25796592.00
510050,2006-07-10,0.3470,0.3570,0.3450,0.3540,,173600.00,19510901.00
510180,2006-07-10,0.2730,0.2740,0.2550,0.2740,,4646.00,1493465.00
159901,2006-07-10,0.5570,0.5610,0.5530,0.5600,,76366.00,10719653.79
159901,2006-07-11,0.5610,0.5630,0.5580,0.5620,,92108.00,13006016.01
510180,2006-07-11,0.2560,0.2770,0.2560,0.2760,,6576.00,2118476.00
510050,2006-07-11,0.3540,0.3590,0.3480,0.3570,,119066.00,13414029.00
510050,2006-07-12,0.3570,0.3660,0.3540,0.3590,,132138.00,14950069.00
510180,2006-07-12,0.2670,0.2870,0.2670,0.2800,,10608.00,3447261.00
159901,2006-07-12,0.5620,0.5730,0.5620,0.5680,,141071.00,20134447.19
159901,2006-07-13,0.5620,0.5670,0.5150,0.5300,,499014.00,68565090.81
510180,2006-07-13,0.2780,0.2780,0.2260,0.2260,,19442.00,6088569.00
510050,2006-07-13,0.3590,0.3590,0.3080,0.3120,,968979.00,106503547.00
510050,2006-07-14,0.3060,0.3240,0.3020,0.3180,,516295.00,56082021.00
159901,2006-07-14,0.5260,0.5450,0.5250,0.5370,,758078.00,103385521.99
510180,2006-07-14,0.2230,0.2350,0.2190,0.2270,,7628.00,2369976.00
510180,2006-07-17,0.2260,0.2370,0.2070,0.2350,,2035.00,635160.00
159901,2006-07-17,0.5350,0.5440,0.5260,0.5420,,142484.00,19510123.15
510050,2006-07-17,0.3150,0.3260,0.3080,0.3240,,764007.00,83492227.00
510050,2006-07-18,0.3210,0.3220,0.3130,0.3210,,601817.00,65639620.00
510180,2006-07-18,0.2230,0.2410,0.2230,0.2310,,3725.00,1161147.00
159901,2006-07-18,0.5400,0.5450,0.5380,0.5450,,45220.00,6212384.20
159901,2006-07-19,0.5430,0.5430,0.5210,0.5260,,184430.00,24734260.72
510180,2006-07-19,0.2230,0.2350,0.2030,0.2290,,35109.00,10837347.00
510050,2006-07-19,0.3180,0.3210,0.2940,0.2970,,381124.00,41036213.00
510050,2006-07-20,0.3020,0.3070,0.2960,0.3030,,106251.00,11425478.00
159901,2006-07-20,0.5260,0.5370,0.5240,0.5270,,29760.00,4000267.82
510180,2006-07-20,0.2290,0.2290,0.2070,0.2190,,883.00,270992.00
510180,2006-07-21,0.2150,0.2230,0.2150,0.2180,,2303.00,711062.00
159901,2006-07-21,0.5260,0.5350,0.5260,0.5330,,40549.00,5487581.82
510050,2006-07-21,0.3030,0.3170,0.3030,0.3150,,104198.00,11313454.00
510050,2006-07-24,0.3110,0.3160,0.2970,0.3150,,176109.00,19079712.00
159901,2006-07-24,0.5320,0.5350,0.5200,0.5330,,70559.00,9499046.24
510180,2006-07-24,0.2110,0.2230,0.1950,0.2210,,5482.00,1694895.00
159901,2006-07-25,0.5340,0.5460,0.5330,0.5420,,85021.00,11681665.06
510180,2006-07-25,0.2230,0.2420,0.2230,0.2370,,10909.00,3407996.00
510050,2006-07-25,0.3150,0.3310,0.3150,0.3270,,216169.00,23754616.00
510050,2006-07-26,0.3310,0.3320,0.3240,0.3270,,202636.00,22306683.00
159901,2006-07-26,0.5430,0.5470,0.5420,0.5420,,55676.00,7666256.66
510180,2006-07-26,0.2370,0.2370,0.2350,0.2350,,1253.00,392406.00
510180,2006-07-27,0.2410,0.2410,0.2220,0.2270,,2958.00,922013.00
159901,2006-07-27,0.5420,0.5430,0.5280,0.5330,,50166.00,6818057.03
510050,2006-07-27,0.3270,0.3360,0.3130,0.3190,,237534.00,26062407.00
510050,2006-07-28,0.3150,0.3220,0.3010,0.3070,,174411.00,18840123.00
159901,2006-07-28,0.5330,0.5350,0.5150,0.5210,,122370.00,16265231.07
510180,2006-07-28,0.2290,0.2290,0.2030,0.2130,,1032.00,316746.00
510180,2006-07-31,0.1950,0.2130,0.1850,0.1890,,2654.00,803284.00
159901,2006-07-31,0.5200,0.5200,0.4960,0.4980,,100069.00,12967890.88
510050,2006-07-31,0.3010,0.3020,0.2790,0.2790,,302363.00,32062404.00
510050,2006-08-01,0.2780,0.2870,0.2680,0.2700,,1508319.00,158632268.00
510180,2006-08-01,0.1890,0.1890,0.1710,0.1740,,2715.00,812964.00
159901,2006-08-01,0.4970,0.5040,0.4880,0.4900,,73557.00,9377368.30
510180,2006-08-02,0.1740,0.1780,0.1430,0.1530,,10467.00,3098630.00
159901,2006-08-02,0.4910,0.4970,0.4760,0.4850,,46811.00,5890095.46
510050,2006-08-02,0.2700,0.2750,0.2560,0.2620,,686457.00,71160003.00
510050,2006-08-03,0.2620,0.2720,0.2570,0.2660,,199635.00,20736502.00
510180,2006-08-03,0.1470,0.1660,0.1470,0.1570,,1429.00,419302.00
159901,2006-08-03,0.4860,0.4900,0.4790,0.4820,,41199.00,5177452.71
510180,2006-08-04,0.1590,0.1590,0.1400,0.1400,,7113.00,2075946.00
159901,2006-08-04,0.4830,0.4850,0.4680,0.4680,,76176.00,9443092.56
510050,2006-08-04,0.2640,0.2740,0.2500,0.2510,,642238.00,66561286.00
510050,2006-08-07,0.2470,0.2520,0.2340,0.2350,,1076697.00,109552590.00
510180,2006-08-07,0.1450,0.1450,0.1190,0.1190,,54295.00,15528417.00
159901,2006-08-07,0.4690,0.4690,0.4570,0.4580,,241070.00,29339528.86
159901,2006-08-08,0.4650,0.4750,0.4620,0.4750,,48893.00,5995511.72
510180,2006-08-08,0.1230,0.1390,0.1190,0.1380,,3668.00,1047874.00
510050,2006-08-08,0.2370,0.2540,0.2370,0.2510,,1164565.00,118560361.00
510050,2006-08-09,0.2510,0.2580,0.2470,0.2550,,192532.00,19765226.00
159901,2006-08-09,0.4740,0.4760,0.4710,0.4730,,35994.00,4443007.28
510180,2006-08-09,0.1390,0.1430,0.1310,0.1400,,1705.00,491111.00
159901,2006-08-10,0.4730,0.4820,0.4730,0.4820,,71728.00,8931726.59
510180,2006-08-10,0.1380,0.1590,0.1380,0.1510,,2299.00,668839.00
510050,2006-08-10,0.2550,0.2710,0.2530,0.2690,,209183.00,21711953.00
510050,2006-08-11,0.2690,0.2730,0.2630,0.2670,,426920.00,44479771.00
510180,2006-08-11,0.1530,0.1550,0.1350,0.1490,,1446.00,420141.00
159901,2006-08-11,0.4820,0.4850,0.4780,0.4820,,135048.00,16911166.90
159901,2006-08-14,0.4850,0.4860,0.4700,0.4720,,57619.00,7129585.95
510180,2006-08-14,0.1490,0.1630,0.1200,0.1320,,4135.00,1207978.00
510050,2006-08-14,0.2680,0.2750,0.2500,0.2530,,252036.00,26115597.00
510050,2006-08-15,0.2480,0.2650,0.2470,0.2650,,122890.00,12691288.00
510180,2006-08-15,0.1320,0.1590,0.1270,0.1490,,3388.00,979327.00
159901,2006-08-15,0.4710,0.4800,0.4680,0.4800,,26213.00,3248513.97
159901,2006-08-16,0.4820,0.4930,0.4780,0.4900,,39108.00,4935065.78
510180,2006-08-16,0.1600,0.1670,0.1490,0.1660,,9267.00,2730125.00
510050,2006-08-16,0.2650,0.2780,0.2590,0.2750,,318179.00,33265850.00
510050,2006-08-17,0.2740,0.2740,0.2630,0.2660,,121792.00,12679080.00
