ts_code,trade_date,open,high,low,close,pre_close,vol,amount,pct_chg
00585.HK,2006-10-03,2.45,2.45,2.45,2.45,2.34,0.00,0.00,4.70
00078.HK,2006-10-03,0.65,0.67,0.64,0.66,0.65,68411140.00,0.00,1.54
00408.HK,2006-10-03,3.02,3.02,3.00,3.00,2.99,240000.00,0.00,0.33
00646.HK,2006-10-03,0.20,0.20,0.20,0.20,0.20,480000.00,0.00,0.00
00406.HK,2006-10-03,0.45,0.45,0.45,0.45,0.44,0.00,0.00,2.27
00855.HK,2006-10-03,2.08,2.15,2.07,2.13,2.08,11819000.00,0.00,2.40
00927.HK,2006-10-03,1.76,1.77,1.74,1.74,1.77,196000.00,0.00,-1.69
00336.HK,2006-10-03,3.15,3.15,3.07,3.09,3.15,2803600.00,0.00,-1.90
00619.HK,2006-10-03,0.07,0.07,0.06,0.06,0.07,300000.00,0.00,-14.29
00403.HK,2006-10-03,0.44,0.44,0.44,0.44,0.44,0.00,0.00,0.00
00123.HK,2006-10-03,1.52,1.53,1.48,1.48,1.53,37830900.00,0.00,-3.27
00922.HK,2006-10-03,0.05,0.05,0.05,0.05,0.05,0.00,0.00,0.00
00856.HK,2006-10-03,1.33,1.37,1.31,1.37,1.36,396000.00,0.00,0.74
00137.HK,2006-10-03,2.02,2.06,2.02,2.05,2.04,590000.00,0.00,0.49
00029.HK,2006-10-03,2.48,2.48,2.45,2.45,2.48,56000.00,0.00,-1.21
00648.HK,2006-10-03,0.09,0.09,0.08,0.09,0.09,15838000.00,0.00,0.00
00399.HK,2006-10-03,0.07,0.07,0.07,0.07,0.07,0.00,0.00,0.00
00338.HK,2006-10-03,3.78,3.78,3.53,3.58,3.88,78050000.00,0.00,-7.73
00039.HK,2006-10-03,0.56,0.56,0.56,0.56,0.56,0.00,0.00,0.00
00339.HK,2006-10-03,0.10,0.10,0.10,0.10,0.11,350000.00,0.00,-9.09
00572.HK,2006-10-03,0.83,0.83,0.80,0.80,0.83,1806000.00,0.00,-3.61
00698.HK,2006-10-03,0.42,0.42,0.40,0.40,0.42,3280000.00,0.00,-4.76
00398.HK,2006-10-03,1.54,1.54,1.51,1.51,1.54,116000.00,0.00,-1.95
00202.HK,2006-10-03,0.03,0.03,0.03,0.03,0.03,10955000.00,0.00,0.00
00857.HK,2006-10-03,8.35,8.38,8.32,8.33,8.38,87129594.00,0.00,-0.60
00921.HK,2006-10-03,0.89,0.89,0.89,0.89,0.89,0.00,0.00,0.00
00340.HK,2006-10-03,1.52,1.52,1.44,1.45,1.52,48903000.00,0.00,-4.61
00397.HK,2006-10-03,0.11,0.11,0.11,0.11,0.11,24480000.00,0.00,0.00
00341.HK,2006-10-03,12.44,12.78,12.40,12.78,12.40,539000.00,0.00,3.06
00124.HK,2006-10-03,3.05,3.05,3.01,3.05,3.06,1212000.00,0.00,-0.33
00168.HK,2006-10-03,10.22,10.34,10.18,10.18,10.50,1077734.00,0.00,-3.05
00919.HK,2006-10-03,1.21,1.21,1.20,1.21,1.20,1752000.00,0.00,0.83
00858.HK,2006-10-03,0.26,0.26,0.26,0.26,0.26,640000.00,0.00,0.00
00393.HK,2006-10-03,3.60,3.80,3.60,3.80,3.80,228000.00,0.00,0.00
00571.HK,2006-10-03,7.76,7.95,7.69,7.92,7.73,2249100.00,0.00,2.46
00218.HK,2006-10-03,0.90,0.91,0.89,0.91,0.90,530000.00,0.00,1.11
00859.HK,2006-10-03,1.02,1.03,0.95,0.98,1.05,1174000.00,0.00,-6.67
00918.HK,2006-10-03,0.20,0.25,0.20,0.23,0.20,6104000.00,0.00,15.00
00136.HK,2006-10-03,0.50,0.50,0.48,0.48,0.50,290000.00,0.00,-4.00
00343.HK,2006-10-03,0.09,0.09,0.09,0.09,0.09,3492000.00,0.00,0.00
01064.HK,2006-10-03,0.11,0.11,0.11,0.11,0.11,20000.00,0.00,0.00
00392.HK,2006-10-03,14.50,14.70,14.36,14.44,14.70,2162000.00,0.00,-1.77
00391.HK,2006-10-03,0.36,0.36,0.36,0.36,0.41,10000.00,0.00,-12.20
00219.HK,2006-10-03,0.58,0.58,0.58,0.58,0.60,0.00,0.00,-3.33
00030.HK,2006-10-03,0.50,0.50,0.50,0.50,0.50,102000.00,0.00,0.00
