ts_code,report_year,report_type,ann_date,f_ann_date,n_cashflow_act,cash_recp_sg_and_rs,n_incr_cash_cash_equ,n_cashflow_inv_act,cash_recp_disp_withdrw_invest,n_cash_flows_fnc_act,cash_recp_cap_contrib,created_at,updated_at
000001.SZ,2026,1,2026-04-25,2026-04-25,37802000000.00,,-52195000000.00,-53517000000.00,,-35634000000.00,,2026-08-30 21:25:48.158682+08:00,
000001.SZ,2026,2,2026-08-15,2026-08-15,215012000000.00,,-53384000000.00,-70495000000.00,,-196012000000.00,,2026-08-30 21:25:51.293242+08:00,
000004.SZ,2026,1,2026-04-28,2026-04-28,-27987206.99,65111180.34,-19496423.54,-587378.06,,9078161.51,490000.00,2026-08-30 21:25:48.190823+08:00,
000006.SZ,2026,2,2026-08-26,2026-08-26,443953657.02,979970648.58,83134640.21,-49570050.45,,-311248966.36,10000000.00,2026-08-30 21:25:51.377161+08:00,
000007.SZ,2026,1,2026-04-29,2026-04-29,83179448.92,140625967.18,9204384.46,1002795.83,,-74883392.52,,2026-08-30 21:25:48.190823+08:00,
000007.SZ,2026,2,2026-08-26,2026-08-26,144067038.68,242378750.98,-629612.78,1241837.73,,-145844021.42,,2026-08-30 21:25:51.360276+08:00,
000011.SZ,2026,1,2026-04-29,2026-04-29,-273423838.78,535760638.27,-596934765.47,-28577528.61,,-293373253.36,,2026-08-30 21:25:48.190823+08:00,
000012.SZ,2026,1,2026-04-28,2026-04-28,39071248.00,3173852936.00,-64551378.00,-472972031.00,,375185597.00,,2026-08-30 21:25:48.174613+08:00,
000016.SZ,2026,1,2026-04-29,2026-04-29,-52257065.21,1786455267.41,-2077267723.06,120000609.19,,-2139601959.26,,2026-08-30 21:25:48.190823+08:00,
000017.SZ,2026,1,2026-04-29,2026-04-29,-43013380.86,154961551.80,-27852511.97,-17723.78,,15178587.57,14700000.00,2026-08-30 21:25:48.190823+08:00,
