ts_code,report_year,report_type,ann_date,roe,roe_dt,roa,npta,grossprofit_margin,profit_dedt,op_yoy,ebt_yoy,netprofit_yoy,debt_to_assets,assets_to_eqt,current_ratio,quick_ratio,or_yoy,tr_yoy,basic_eps,dt_eps,bps,created_at,updated_at
000001.SZ,2003,4,2004-04-15,10.4147,7.8248,,0.2364,,319364475.00,-84.7500,-31.5478,1.2153,97.7282,44.0180,,,-28.6841,-28.6841,,,2.2600,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000002.SZ,2003,4,2004-03-09,13.4190,13.0461,8.8147,6.0275,27.2753,527202240.44,56.1935,59.6825,41.7993,54.9243,2.2185,2.1294,0.3212,39.4744,39.4744,,,3.3680,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000003.SZ,2003,4,2004-04-30,,,-53.1050,-43.4304,46.0245,-151152399.13,-18.0712,-66.2794,-11.3302,616.6058,,0.1048,0.0186,24.6480,24.6480,,,-7.5500,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000004.SZ,2003,4,2004-04-20,3.9051,3.9119,5.0902,3.0475,42.9359,3868185.05,-22.1445,2.1122,-30.8356,46.0140,1.8523,1.7145,1.4495,-1.3946,-1.3946,,,1.1940,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000005.SZ,2003,4,2004-04-24,0.2281,-1.4841,-0.7273,0.0511,42.0765,-14098049.52,60.1317,61.6654,102.5653,47.9576,1.9215,0.5540,0.4061,66.6727,66.6727,,,1.3100,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000006.SZ,2003,4,2004-04-21,-18.4264,-18.1971,-3.4744,-4.7620,9.9018,-185345900.52,-431.7889,-804.1736,-2454.5637,73.3698,3.7551,1.2333,0.5486,-4.5715,-4.5715,,,3.7420,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000007.SZ,2003,4,2004-04-17,6.9310,9.6909,5.4238,1.3995,51.0771,20928667.63,45.7583,38.7332,-31.8134,76.3461,4.2276,0.7161,0.4245,47.1444,47.1444,,,1.6200,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000008.SZ,2003,4,2004-02-13,,,1.9427,1.5062,22.4879,987096.00,106.3851,105.7913,109.7606,49.4502,1.9782,0.0945,0.0945,191.2834,191.2834,,,0.4100,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000009.SZ,2003,4,2004-04-24,1.1324,2.2263,2.3929,0.8993,38.0626,25381011.49,98.7697,-19.0231,-4.9401,69.2499,3.2520,1.4807,0.3575,26.0156,26.0156,,,1.1870,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000010.SZ,2003,4,2004-04-24,4.2264,4.0493,6.6511,4.9707,36.5549,6736350.68,5.1035,9.0503,-42.0991,60.2121,2.5133,1.4707,1.2760,12.5067,12.5067,,,1.1600,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000011.SZ,2003,4,2004-04-19,18.9630,30.5423,5.9525,3.0525,38.9459,124021158.47,487.1943,173.3756,122.4061,80.5425,5.1394,1.1265,0.3070,38.1665,38.1665,,,0.8750,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000012.SZ,2003,4,2004-03-16,10.1457,9.8702,7.7772,6.6819,36.3543,198373586.00,31.8446,23.4854,24.8600,37.3424,1.5960,0.6871,0.3821,26.0011,26.0011,,,3.1200,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000013.SZ,2003,4,2004-04-29,,,-53.7067,-68.7989,,-149845316.35,25.3154,31.4755,26.0324,1231.7252,,0.0014,0.0014,,-100.0000,,,-7.9300,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000014.SZ,2003,4,2004-03-30,12.1657,12.2244,4.9175,3.8409,33.9172,29996659.68,-6.1131,-5.9308,-16.8696,69.7302,3.3036,1.4497,0.3328,-37.8634,-37.8634,,,2.9037,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000015.SZ,2003,4,2004-04-29,,,-3.2430,-31.9842,,-55238445.46,15.6947,15.7465,15.7465,821.9469,,0.0273,0.0273,,,,,-8.2840,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000016.SZ,2003,4,2004-04-20,3.3651,3.2651,1.4689,1.3804,14.7068,98067812.82,6808.5775,134.0097,183.9837,65.8813,2.9309,1.2834,0.7837,59.2517,59.2517,,,5.0720,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000017.SZ,2003,4,2004-04-21,,,-6.3275,-6.8911,8.1325,-39667486.43,-113.1546,-259.8610,-248.6569,479.3673,,0.1307,0.0681,38.3092,38.3092,,,-3.5140,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000018.SZ,2003,4,2004-04-20,0.5057,0.2648,1.1255,0.3992,14.1167,820000.00,6.7542,24.1419,16.1861,20.1988,1.2531,2.6965,1.6269,28.7607,28.7607,,,1.8400,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000019.SZ,2003,4,2004-04-10,-17.8141,-9.9242,-9.8939,-10.9794,24.9990,-24986723.64,-346.6783,-527.3248,-515.2969,46.0485,1.8535,0.7355,0.6566,-19.7789,-19.7789,,,1.2610,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000020.SZ,2003,4,2004-04-24,-2.7111,-2.4556,-0.1877,-1.6191,7.9814,-7005272.25,-849532.7937,-796.8498,-796.8498,41.9417,1.7224,0.9296,0.7034,-8.0946,-8.0946,,,0.9800,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000021.SZ,2003,4,2004-04-26,9.3010,9.7996,6.0081,4.7190,7.9713,234721999.95,272.7271,220.5384,266.8414,42.8480,1.7497,1.7708,1.4682,27.2032,27.2032,,,3.4205,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000023.SZ,2003,4,2004-04-17,2.7671,-1.0693,3.7358,1.3518,17.6512,-2367370.66,148.6029,31.5869,-23.1207,66.5904,2.9932,0.7286,0.7179,22.0118,22.0118,,,1.6200,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000024.SZ,2003,4,2004-03-09,11.8807,12.5763,8.1213,6.4118,14.4760,349825263.00,32.5126,35.5728,36.6650,43.8837,1.7820,1.5400,0.4647,25.5486,25.5486,,,6.0480,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000025.SZ,2003,4,2004-04-19,2.4959,-2.4877,2.4269,0.7614,8.9817,-5157990.61,141.2540,139.7365,112.6280,80.9876,5.2597,0.7316,0.5845,11.4061,11.4061,,,0.9600,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000026.SZ,2003,4,2004-04-08,0.9920,-1.3209,0.8611,0.7447,39.7517,-6775168.00,104.0423,107.4945,106.5087,8.7489,1.0959,7.7487,4.5090,3.9365,3.9365,,,2.0670,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000027.SZ,2003,4,2004-04-13,22.3528,22.1262,18.3776,16.6080,34.9589,732397753.54,55.5255,41.2987,42.8601,25.7084,1.3460,2.2586,2.1231,26.0939,26.0939,,,3.1000,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000028.SZ,2003,4,2004-04-10,4.5239,2.3733,1.9430,1.4830,22.8920,7969026.63,163.4231,465.3272,208.5818,65.5118,2.8995,1.1304,0.8022,-7.5277,-7.5277,,,1.1740,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
000029.SZ,2003,4,2004-04-30,0.4001,1.3558,1.7696,0.1078,21.6969,14761576.96,-63.0653,-63.4784,-68.9827,58.8011,2.4272,1.3524,0.3672,28.6519,28.6519,,,1.1313,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
