ts_code,report_year,report_type,ann_date,f_ann_date,comp_type,total_revenue,revenue,total_cogs,oper_cost,sell_exp,admin_exp,fin_exp,operate_profit,total_profit,income_tax,n_income,n_income_attr_p,basic_eps,created_at,updated_at
000001.SZ,2018,1,2018-04-20,2018-04-20,2,28026000000.00,28026000000.00,19442000000.00,,,8510000000.00,,8584000000.00,8567000000.00,1972000000.00,6595000000.00,6595000000.00,0.3300,2026-04-19 18:11:46.972233+08:00,2026-05-05 19:43:57.657372+08:00
000001.SZ,2018,4,2019-03-07,2019-03-07,2,116716000000.00,116716000000.00,84411000000.00,,,35391000000.00,,32305000000.00,32231000000.00,7413000000.00,24818000000.00,24818000000.00,1.3900,2026-04-19 18:11:53.493923+08:00,2026-05-05 19:43:57.657372+08:00
000001.SZ,2018,2,2018-08-16,2018-08-16,2,57241000000.00,57241000000.00,39839000000.00,,,16980000000.00,,17402000000.00,17367000000.00,3995000000.00,13372000000.00,13372000000.00,0.7300,2026-04-19 18:11:49.011048+08:00,2026-05-05 19:43:57.657372+08:00
000001.SZ,2018,3,2018-10-24,2018-10-24,2,86664000000.00,86664000000.00,60050000000.00,,,25581000000.00,,26614000000.00,26566000000.00,6110000000.00,20456000000.00,20456000000.00,1.1400,2026-04-19 18:11:51.244310+08:00,2026-05-05 19:43:57.657372+08:00
000002.SZ,2018,4,2019-03-26,2019-03-26,1,297679331103.19,297679331103.19,237051878549.68,186104224241.81,7868075611.02,10340805184.61,5998574652.64,67498612522.27,67460201390.98,18187906856.37,49272294534.61,33772651678.61,3.0600,2026-04-19 18:11:53.493923+08:00,2026-05-05 19:43:58.498099+08:00
000002.SZ,2018,3,2018-10-26,2018-10-26,1,176022139199.75,176022139199.75,147082932193.86,114832332139.32,4485487066.26,6614035546.09,4629764384.36,31654122861.83,31662106734.28,9864308541.59,21797798192.69,13984559799.91,1.2670,2026-04-19 18:11:51.244310+08:00,2026-05-05 19:43:58.498099+08:00
000002.SZ,2018,2,2018-08-21,2018-08-21,1,105974537269.94,105974537269.94,87131631791.63,69479913436.33,2808312262.36,4342880662.02,2332376581.38,19629139535.89,19667844908.03,6145244287.72,13522600620.31,9123743200.32,0.8300,2026-04-19 18:11:49.011048+08:00,2026-05-05 19:43:58.498099+08:00
000002.SZ,2018,1,2018-04-26,2018-04-26,1,30825615283.99,30825615283.99,27503227889.84,20291895150.26,1276146543.21,2218197105.13,1040042779.76,2971064333.17,2999301999.31,1219816224.83,1779485774.48,894878011.08,0.0810,2026-04-19 18:11:46.972233+08:00,2026-05-05 19:43:58.498099+08:00
000003.SZ,2018,1,2018-04-27,2018-04-27,1,8601971.40,8601971.40,13267114.27,7387165.11,1402039.22,4280483.76,186069.42,-4578851.84,-4563640.66,,-4563640.66,-4563640.66,-0.0137,2026-04-19 18:11:46.972233+08:00,
000003.SZ,2018,3,2019-10-30,2019-10-30,1,22614755.18,22614755.18,27794904.73,14582266.73,2394038.62,9715605.70,233380.55,1316197.19,1627031.50,,1627031.50,1682300.76,,2026-04-19 18:11:51.244310+08:00,
