code,name,track_index,track_index_code,fund_type,invest_strategy,list_date,management_fee,custody_fee,fund_company,scale,created_at,updated_at
159001,货币ETF易方达,货币基金,,,,,,,,23.46,2026-05-04 19:51:39.326881+08:00,
159003,招商快线ETF,,,,,,,,,2.13,2026-05-04 19:51:39.326881+08:00,
159005,快钱ETF汇添富,,,,,,,,,0.86,2026-05-04 19:51:39.326881+08:00,
159007,养殖ETF华泰柏瑞,,,,,,,,,2.16,2026-05-04 19:51:39.326881+08:00,
159008,证券ETF景顺,证券指数,,,,,,,,3.38,2026-05-04 19:51:39.326881+08:00,
159009,创业板新能源ETF易方达,创业板指,,,,,,,,0.74,2026-05-04 19:51:39.326881+08:00,
159013,工业互联网ETF大成,,,,,,,,,2.99,2026-05-04 19:51:39.326881+08:00,
159018,石油ETF广发,能源指数,,,,,,,,1.28,2026-05-04 19:51:39.326881+08:00,
159019,石油ETF华宝,能源指数,,,,,,,,0.98,2026-05-04 19:51:39.326881+08:00,
159020,养殖ETF易方达,,,,,,,,,1.30,2026-05-04 19:51:39.326881+08:00,
159022,科创创业人工智能ETF富国,人工智能指数,,,,,,,,3.04,2026-05-04 19:51:39.326881+08:00,
159026,石油ETF南方,能源指数,,,,,,,,0.94,2026-05-04 19:51:39.326881+08:00,
159100,巴西ETF华夏,,,,,,,,,5.11,2026-05-04 19:51:39.326881+08:00,
159101,港股通科技ETF华夏,科技指数,,,,,,,,30.41,2026-05-04 19:51:39.326881+08:00,
159102,港股通生物科技ETF华安,科技指数,,,,,,,,5.82,2026-05-04 19:51:39.326881+08:00,
159103,金融科技ETF汇添富,科技指数,,,,,,,,2.12,2026-05-04 19:51:39.326881+08:00,
159105,恒生生物科技ETF易方达,科技指数,,,,,,,,1.54,2026-05-04 19:51:39.326881+08:00,
159106,民企300ETF前海开源,沪深300,,,,,,,,0.52,2026-05-04 19:51:39.326881+08:00,
159107,创业板软件ETF富国,创业板指,,,,,,,,5.52,2026-05-04 19:51:39.326881+08:00,
159108,工业软件ETF博时,,,,,,,,,1.66,2026-05-04 19:51:39.326881+08:00,
159109,恒生50ETF景顺,上证50,,,,,,,,4.18,2026-05-04 19:51:39.326881+08:00,
159117,港股通红利低波ETF鹏华,红利指数,,,,,,,,0.77,2026-05-04 19:51:39.326881+08:00,
159118,港股通红利低波ETF华夏,红利指数,,,,,,,,1.00,2026-05-04 19:51:39.326881+08:00,
159119,800现金流ETF招商,黄金,,,,,,,,2.25,2026-05-04 19:51:39.326881+08:00,
159120,港股通科技ETF国联安,科技指数,,,,,,,,1.43,2026-05-04 19:51:39.326881+08:00,
159121,港股通汽车ETF易方达,汽车指数,,,,,,,,1.08,2026-05-04 19:51:39.326881+08:00,
159122,创业板新能源ETF富国,创业板指,,,,,,,,0.80,2026-05-04 19:51:39.326881+08:00,
159123,光伏ETF嘉实,光伏指数,,,,,,,,5.62,2026-05-04 19:51:39.326881+08:00,
159125,港股通科技ETF招商,科技指数,,,,,,,,6.63,2026-05-04 19:51:39.326881+08:00,
159126,港股通50ETF南方,上证50,,,,,,,,3.52,2026-05-04 19:51:39.326881+08:00,
159127,港股通红利ETF南方,红利指数,,,,,,,,2.13,2026-05-04 19:51:39.326881+08:00,
159128,港股科技ETF天弘,科技指数,,,,,,,,21.38,2026-05-04 19:51:39.326881+08:00,
159129,化工ETF嘉实,化工指数,,,,,,,,19.44,2026-05-04 19:51:39.326881+08:00,
159130,恒生生物科技ETF鹏华,科技指数,,,,,,,,2.18,2026-05-04 19:51:39.326881+08:00,
159131,港股通信息技术ETF华宝,通信指数,,,,,,,,6.30,2026-05-04 19:51:39.326881+08:00,
159132,恒生生物科技ETF富国,科技指数,,,,,,,,0.88,2026-05-04 19:51:39.326881+08:00,
159133,化工ETF天弘,化工指数,,,,,,,,29.00,2026-05-04 19:51:39.326881+08:00,
159135,港股通科技ETF前海开源,科技指数,,,,,,,,7.12,2026-05-04 19:51:39.326881+08:00,
159136,A50ETF广发,上证50,,,,,,,,1.36,2026-05-04 19:51:39.326881+08:00,
159137,港股通医疗ETF华宝,医药指数,,,,,,,,1.60,2026-05-04 19:51:39.326881+08:00,
159138,工程机械ETF易方达,,,,,,,,,0.89,2026-05-04 19:51:39.326881+08:00,
159139,科创创业人工智能ETF华泰柏瑞,人工智能指数,,,,,,,,3.47,2026-05-04 19:51:39.326881+08:00,
159140,科创创业人工智能ETF易方达,人工智能指数,,,,,,,,6.10,2026-05-04 19:51:39.326881+08:00,
159141,科创创业人工智能ETF永赢,人工智能指数,,,,,,,,9.15,2026-05-04 19:51:39.326881+08:00,
159142,科创创业人工智能ETF景顺,人工智能指数,,,,,,,,6.27,2026-05-04 19:51:39.326881+08:00,
159143,港股通央企红利ETF平安,红利指数,,,,,,,,0.72,2026-05-04 19:51:39.326881+08:00,
159145,工业软件ETF广发,,,,,,,,,0.98,2026-05-04 19:51:39.326881+08:00,
