ts_code,symbol,name,area,industry,market,exchange,list_status,list_date,delist_date,is_hs,created_at,updated_at
000001.SZ,000001,平安银行,深圳,银行,主板,SZSE,L,1991-04-03,,S,2026-04-18 16:49:44.419921+08:00,
000002.SZ,000002,万科Ａ,深圳,全国地产,主板,SZSE,L,1991-01-29,,S,2026-04-18 16:49:44.419921+08:00,
000004.SZ,000004,*ST国华,深圳,软件服务,主板,SZSE,L,1990-12-01,,N,2026-04-18 16:49:44.419921+08:00,
000006.SZ,000006,深振业Ａ,深圳,区域地产,主板,SZSE,L,1992-04-27,,S,2026-04-18 16:49:44.419921+08:00,
000007.SZ,000007,全新好,深圳,其他商业,主板,SZSE,L,1992-04-13,,N,2026-04-18 16:49:44.419921+08:00,
000008.SZ,000008,神州高铁,北京,运输设备,主板,SZSE,L,1992-05-07,,S,2026-04-18 16:49:44.419921+08:00,
000009.SZ,000009,中国宝安,深圳,电气设备,主板,SZSE,L,1991-06-25,,S,2026-04-18 16:49:44.419921+08:00,
00001.HK,00001,长和,,,主板,HKEX,L,1972-11-01,,H,2026-04-18 16:49:44.419921+08:00,
000010.SZ,000010,美丽生态,深圳,建筑工程,主板,SZSE,L,1995-10-27,,N,2026-04-18 16:49:44.419921+08:00,
000011.SZ,000011,深物业A,深圳,房产服务,主板,SZSE,L,1992-03-30,,S,2026-04-18 16:49:44.419921+08:00,
000012.SZ,000012,南玻Ａ,深圳,玻璃,主板,SZSE,L,1992-02-28,,S,2026-04-18 16:49:44.419921+08:00,
000014.SZ,000014,沙河股份,深圳,全国地产,主板,SZSE,L,1992-06-02,,N,2026-04-18 16:49:44.419921+08:00,
000016.SZ,000016,深康佳Ａ,深圳,家用电器,主板,SZSE,L,1992-03-27,,S,2026-04-18 16:49:44.419921+08:00,
000017.SZ,000017,深中华A,深圳,服饰,主板,SZSE,L,1992-03-31,,N,2026-04-18 16:49:44.419921+08:00,
000019.SZ,000019,深粮控股,深圳,农业综合,主板,SZSE,L,1992-10-12,,S,2026-04-18 16:49:44.419921+08:00,
00002.HK,00002,中电控股,,,主板,HKEX,L,1980-01-02,,H,2026-04-18 16:49:44.419921+08:00,
000020.SZ,000020,深华发Ａ,深圳,元器件,主板,SZSE,L,1992-04-28,,N,2026-04-18 16:49:44.419921+08:00,
000021.SZ,000021,深科技,深圳,元器件,主板,SZSE,L,1994-02-02,,S,2026-04-18 16:49:44.419921+08:00,
000025.SZ,000025,特力Ａ,深圳,综合类,主板,SZSE,L,1993-06-21,,S,2026-04-18 16:49:44.419921+08:00,
000026.SZ,000026,飞亚达,深圳,服饰,主板,SZSE,L,1993-06-03,,S,2026-04-18 16:49:44.419921+08:00,
000027.SZ,000027,深圳能源,深圳,火力发电,主板,SZSE,L,1993-09-03,,S,2026-04-18 16:49:44.419921+08:00,
000028.SZ,000028,国药一致,深圳,医药商业,主板,SZSE,L,1993-08-09,,S,2026-04-18 16:49:44.419921+08:00,
000029.SZ,000029,深深房Ａ,深圳,区域地产,主板,SZSE,L,1993-09-15,,S,2026-04-18 16:49:44.419921+08:00,
00003.HK,00003,香港中华煤气,,,主板,HKEX,L,1960-04-11,,H,2026-04-18 16:49:44.419921+08:00,
000030.SZ,000030,富奥股份,吉林,汽车配件,主板,SZSE,L,1993-09-29,,S,2026-04-18 16:49:44.419921+08:00,
000031.SZ,000031,大悦城,深圳,全国地产,主板,SZSE,L,1993-10-08,,S,2026-04-18 16:49:44.419921+08:00,
000032.SZ,000032,深桑达Ａ,深圳,建筑工程,主板,SZSE,L,1993-10-28,,S,2026-04-18 16:49:44.419921+08:00,
000034.SZ,000034,神州数码,深圳,软件服务,主板,SZSE,L,1994-05-09,,S,2026-04-18 16:49:44.419921+08:00,
000035.SZ,000035,中国天楹,江苏,环境保护,主板,SZSE,L,1994-04-08,,S,2026-04-18 16:49:44.419921+08:00,
000036.SZ,000036,华联控股,深圳,全国地产,主板,SZSE,L,1994-06-17,,S,2026-04-18 16:49:44.419921+08:00,
000037.SZ,000037,深南电A,深圳,火力发电,主板,SZSE,L,1994-07-01,,N,2026-04-18 16:49:44.419921+08:00,
000039.SZ,000039,中集集团,深圳,运输设备,主板,SZSE,L,1994-04-08,,S,2026-04-18 16:49:44.419921+08:00,
00004.HK,00004,九龙仓集团,,,主板,HKEX,L,1921-01-01,,H,2026-04-18 16:49:44.419921+08:00,
000042.SZ,000042,中洲控股,深圳,全国地产,主板,SZSE,L,1994-09-21,,S,2026-04-18 16:49:44.419921+08:00,
000045.SZ,000045,深纺织Ａ,深圳,元器件,主板,SZSE,L,1994-08-15,,S,2026-04-18 16:49:44.419921+08:00,
000048.SZ,000048,京基智农,深圳,农业综合,主板,SZSE,L,1994-11-01,,S,2026-04-18 16:49:44.419921+08:00,
000049.SZ,000049,德赛电池,深圳,电气设备,主板,SZSE,L,1995-03-20,,S,2026-04-18 16:49:44.419921+08:00,
00005.HK,00005,汇丰控股,,,主板,HKEX,L,1980-01-02,,H,2026-04-18 16:49:44.419921+08:00,
000050.SZ,000050,深天马Ａ,深圳,元器件,主板,SZSE,L,1995-03-15,,S,2026-04-18 16:49:44.419921+08:00,
000055.SZ,000055,方大集团,深圳,其他建材,主板,SZSE,L,1996-04-15,,N,2026-04-18 16:49:44.419921+08:00,
000056.SZ,000056,皇庭国际,深圳,其他商业,主板,SZSE,L,1996-07-08,,N,2026-04-18 16:49:44.419921+08:00,
000058.SZ,000058,深赛格,深圳,商品城,主板,SZSE,L,1996-12-26,,S,2026-04-18 16:49:44.419921+08:00,
000059.SZ,000059,华锦股份,辽宁,石油加工,主板,SZSE,L,1997-01-30,,S,2026-04-18 16:49:44.419921+08:00,
00006.HK,00006,电能实业,,,主板,HKEX,L,1976-08-16,,H,2026-04-18 16:49:44.419921+08:00,
000060.SZ,000060,中金岭南,深圳,铅锌,主板,SZSE,L,1997-01-23,,S,2026-04-18 16:49:44.419921+08:00,
000061.SZ,000061,农产品,深圳,农业综合,主板,SZSE,L,1997-01-10,,S,2026-04-18 16:49:44.419921+08:00,
000062.SZ,000062,深圳华强,深圳,元器件,主板,SZSE,L,1997-01-30,,S,2026-04-18 16:49:44.419921+08:00,
000063.SZ,000063,中兴通讯,深圳,通信设备,主板,SZSE,L,1997-11-18,,S,2026-04-18 16:49:44.419921+08:00,
000065.SZ,000065,北方国际,北京,建筑工程,主板,SZSE,L,1998-06-05,,S,2026-04-18 16:49:44.419921+08:00,
000066.SZ,000066,中国长城,深圳,IT设备,主板,SZSE,L,1997-06-26,,S,2026-04-18 16:49:44.419921+08:00,
000068.SZ,000068,华控赛格,深圳,环境保护,主板,SZSE,L,1997-06-11,,N,2026-04-18 16:49:44.419921+08:00,
000069.SZ,000069,华侨城Ａ,深圳,全国地产,主板,SZSE,L,1997-09-10,,S,2026-04-18 16:49:44.419921+08:00,
00007.HK,00007,智富资源投资,,,主板,HKEX,L,2000-09-08,,H,2026-04-18 16:49:44.419921+08:00,
000070.SZ,000070,特发信息,深圳,通信设备,主板,SZSE,L,2000-05-11,,S,2026-04-18 16:49:44.419921+08:00,
000078.SZ,000078,海王生物,深圳,医药商业,主板,SZSE,L,1998-12-18,,S,2026-04-18 16:49:44.419921+08:00,
00008.HK,00008,电讯盈科,,,主板,HKEX,L,1994-10-18,,H,2026-04-18 16:49:44.419921+08:00,
000088.SZ,000088,盐田港,深圳,港口,主板,SZSE,L,1997-07-28,,S,2026-04-18 16:49:44.419921+08:00,
000089.SZ,000089,深圳机场,深圳,机场,主板,SZSE,L,1998-04-20,,S,2026-04-18 16:49:44.419921+08:00,
000090.SZ,000090,天健集团,深圳,建筑工程,主板,SZSE,L,1999-07-21,,S,2026-04-18 16:49:44.419921+08:00,
