ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
873636.BJ,20240131,20240131,20231231,1,1,4,32970000.0,35802985.49,97676776.89,16485000.0,,97034328.99,,517670.0,90990644.67,7061832.11,294520.18,,,10130089.61,,,,,,,,,4059157.62,213703158.65,,,,,,,,23823967.02,52204.04,,,,,1109824.2,,,3010169.42,2669931.32,,117820.0,31473191.78,,,,,,,,,,,,,,,,,245176350.43,,,,,,,207385.0,20084834.37,,,,10369495.32,13736966.35,,,2164021.54,,,,,,,,336764.03,1228663.23,61719537.26,,,,,103391.37,400000.0,,522050.79,,,,,,,,,,,,,,,,,62241588.05,,,,,,182934762.38,182934762.38,245176350.43,,,,,,,,,,,,,3614915.47,13591407.42,91508314.67,20292219.37,7061832.11,23823967.02,52204.04,2164021.54,,,,0
833640.BJ,20240202,20240202,20231231,1,1,4,50388000.0,29630886.83,175131525.75,21451567.56,,110816497.77,,23275.0,64407469.67,794217.76,4810998.77,,,51426042.62,,,,,,,,,2435066.48,235188446.75,,,,4542869.44,,,,72882423.79,,,,,,6496499.01,,,190092.22,3237510.61,,4438203.2,92939572.36,,,,,,,,,,,,,,,,,328128019.11,,17494603.37,,,,,,17617807.31,,,,3887631.42,1162453.18,,,723345.39,,,,,,,,384971.19,92317.67,43516887.19,,,,,3336035.47,,,4149094.29,,,,,,,,,,,,,,,,,47665981.48,,,,,3860057.49,276601980.14,280462037.63,328128019.11,,,,,,,,,,,,,474878.68,2153757.66,64430744.67,17617807.31,794217.76,72882423.79,,723345.39,,,,0
873738.BJ,20240208,20240208,20231231,1,1,4,37426688.0,101058830.11,137767370.42,16566108.94,,32965273.05,,11027831.6,65053279.9,653412.34,2597705.22,,,32453023.32,,,,,,,,,1947495.22,157472945.2,,,,,,,,159217994.84,5706604.29,,,,,7366333.45,,,184090.84,733287.36,,97309.12,174804367.09,,,,,,,,,,,,,,,,,332277312.29,1001000.0,,,,,,770371.8,20378356.62,,,,4239544.59,3375642.95,,,423296.43,,,,,,,,1107410.22,2077295.01,36265226.86,,,,,1220275.25,773428.01,,3193087.96,,,,,,,,,,,,,,,,,39458314.82,,,,,,292818997.47,292818997.47,332277312.29,,,,,,,,,,,,,343163.75,3893309.24,76081111.5,21148728.42,653412.34,159217994.84,5706604.29,423296.43,,,,0
873777.BJ,20240223,20240223,20231231,1,1,4,76600000.0,50272016.99,586455860.04,56536046.67,13105546.29,169427629.66,250000000.0,154614272.39,2258.65,,3640791.45,,,119650099.6,,,,,,,,,4646112.19,744422539.15,,,,6165751.19,,,,247046934.94,33054067.79,,,,,88444177.42,,,,179663.05,,3008307.15,394692468.88,,,,,,,,,,,,,,,,,1139115008.03,,17220140.47,,,,,118150000.0,39764064.22,23608.26,,,6427210.21,23780957.1,,,3989452.24,,,,,,,,3780.46,124091267.78,352620723.7,,,,,3494306.2,,,3524814.34,,,,,,,,,,,,,,,,,356145538.04,,,,,,782969469.99,782969469.99,1139115008.03,,,,,,,,,,,,,,19170242.96,154616531.04,157914064.22,,247046934.94,33054067.79,3989452.24,,,,0
838381.BJ,20240224,20240224,20231231,1,1,4,40300000.0,87344201.09,113777672.34,15530306.96,,72421717.13,,3463170.9,65439969.16,349533.5,914422.02,,,85651889.24,,,,,,,,,6257012.3,239273204.12,,,,,,,,62402755.29,2560673.53,,,,,6788261.84,,1032522.66,3210853.2,13094332.73,,2975950.0,92148070.41,,,,,,,,,,,,,,,,,331421274.53,,,,,,100031.08,7773846.6,45071973.72,,,,6374712.11,4646834.76,,,121451.36,,,,,,,,115588.39,1699199.02,69343678.24,,,,,44315.78,4137664.48,,4181980.26,,,,,,,,,,,,,,,,,73525658.5,,,,,829919.5,257065696.53,257895616.03,331421274.53,,113516.14,,,,,,,,,,,,3440041.2,68903140.06,52845820.32,349533.5,62402755.29,2560673.53,121451.36,,,,0
873575.BJ,20240229,20240229,20231231,1,1,4,78700000.0,133174454.77,58639981.51,19109886.84,3911371.07,58373008.47,,53168757.93,96309706.78,381714.4,4664993.6,,,192803101.04,,,,,,,,,693287.09,409707594.31,,,,,,,4850000.0,168366194.78,3585886.58,2590445.97,,,,41690510.75,,,137500.0,892917.9,,1159117.69,223443588.02,,,,,,,,,,,,,,,,,633151182.33,27018123.29,156111712.33,,,,,21829413.63,49987279.97,,,,14755845.83,4985238.0,,,1821588.69,,,,,,,,9568774.94,12671235.54,283620617.37,,,4400000.0,,236102.15,24257146.46,,55994870.77,,,,,,,,,,,,,,,,,339615488.14,,,,,,293535694.19,293535694.19,633151182.33,,,,,,,,,,,,,,11889528.44,149478464.71,71816693.6,381714.4,168366194.78,6176332.55,1821588.69,4400000.0,,,0
600219.SH,20240229,20240229,20231231,1,1,4,11708552848.0,15909903918.52,18629074339.46,2033423903.17,,26388331834.43,,1069289300.0,3229021269.48,769789615.19,807297072.99,,,6271535676.8,,22099444.45,,,,,,,240736471.44,39926474745.83,,,672087113.77,,,,,24433222915.08,682857340.16,,,,,2378643590.7,,,33747923.83,250831818.29,,394539786.44,28888865475.56,,,,21225093.89,,,,,,,,,,,,,68815340221.39,28500000.0,7532651650.59,,,,,511046682.18,2736212349.48,1251509433.33,,,656261682.15,186371970.51,0.0,12835862.49,363821372.43,,,,,,,,102868170.5,511248380.59,14111783469.94,,,,9020752.58,68465881.14,557272496.54,,675459155.83,,,,,,,,,,,,,,,,,14787242625.77,,,,,5683944891.31,48344152704.31,54028097595.62,68815340221.39,,63197695.16,,,,,,,317503452.17,,,,,246955915.69,4298310569.48,3247259031.66,769789615.19,24433222915.08,682857340.16,376657234.92,,,,0
002014.SZ,20240229,20240229,20231231,1,1,4,612491866.0,512666309.17,1114172351.44,215688514.56,2491906.07,1177915754.29,301985266.02,,583225813.66,8104469.96,14835960.02,,,302780109.18,,,,,,,,,4233789.9,2508235157.07,,,,,,,,1126749821.37,35599740.27,,,,,82499275.58,,,,27798116.6,,21273653.01,1395193384.61,,,,,,,,,,,,,,,,,3903428541.68,115027320.38,528111164.39,,,,,182736348.12,249932187.35,,,,111998830.37,23961933.68,,,54555086.06,,,,,,,,68947174.82,1472008.93,1244357678.09,,,,1750000.0,,37601925.36,,154379245.74,,,,,,,,,,,,,,,,,1398736923.83,,,,,47180670.61,2457510947.24,2504691617.85,3903428541.68,,,,,,,,,,,,,,22642944.37,583225813.66,432668535.47,8104469.96,1126749821.37,35599740.27,54555086.06,,,101272777.78,0
839036.BJ,20240301,20240301,20231231,1,1,4,62965000.0,47916873.64,180506653.41,30370609.43,,231854709.83,,1291502.37,55493989.04,1106410.62,2227714.06,,,78105749.39,,,,,,,,,2099649.7,375224071.07,,,,,,,,44746933.89,,,,,,563479.41,,,,2253591.69,,,48003160.91,,,,,,,,,,,,,,,,,423227231.98,,,,,,,,44538972.78,,,,8497363.3,5085447.88,,,11062950.0,,,,,,,,172976.23,6670451.04,111190316.54,,,,1270649.45,65873.39,,,1340728.96,,,,,,,,,,,,,,,,,112531045.5,11062950.0,,,,,310696186.48,310696186.48,423227231.98,,,,,,,,,,,,,,35162155.31,56785491.41,44538972.78,1106410.62,44746933.89,,11062950.0,,,,0
873696.BJ,20240301,20240301,20231231,1,1,4,47300000.0,27058619.77,90159733.82,18272071.46,,56480790.77,,4398663.82,95053742.14,5588817.87,2871087.87,,,15111292.57,,7029304.38,,,,,,,2677504.33,198125069.75,,,,4693253.52,,,2243671.1,51781185.16,,,,,,,,,,3101278.15,,14044686.96,75864074.89,,,,,,,,,,,,,,,,,273989144.64,,10000000.0,,,,,977000.0,34862005.29,,,,7740256.4,6344374.1,,,2883013.9,,,,,,,,,3107288.29,75307052.92,,,,,,15891666.67,,15891666.67,,,,,,,,,,,,,,,,,91198719.59,,,,,,182790425.05,182790425.05,273989144.64,,,,,,,,,,,,,7840774.05,9393114.94,99452405.96,35839005.29,5588817.87,51781185.16,,2883013.9,,,,0
