ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
000001.SZ,20200828,20200828,20200630,2,1,2,13678000000.0,,,,72998000000.0,6205000000.0,,,,,,106146000000.0,,23915000000.0,,71259000000.0,322208000000.0,,10514000000.0,15380000000.0,205716000000.0,,,40375000000.0,,10992000000.0,347874000000.0,-25666000000.0,,371209000000.0,19644000000.0,114000000.0,,390967000000.0,782000000.0,390977000000.0,,,,391759000000.0,-792000000.0,,,,352424000000.0,84715413089.2136,299680000000.0,7128000000.0,,,308231000000.0,44193000000.0,862000000.0,18597000000.0,179058000000.0,197655000000.0,,,,637000000.0,733000000.0,468000000.0,270000000.0,,,14000000.0,,-98000000.0,,-2450000000.0,,,-220729000000.0,152237000000.0,,-25666000000.0,,,,18597000000.0,,,37854000000.0,1305000000.0,,4878000000.0,5459000000.0,192777000000.0,173599000000.0,0
000002.SZ,20200828,20200828,20200630,1,1,2,18629194388.09,3309138508.55,180412064949.04,,,,,,,,,,,,,18175494090.25,198587559039.29,101845020675.64,8031796396.11,32832177122.13,,,,,,33272602808.53,175981597002.41,22605962036.88,7299228047.52,931392990.4,1503667966.51,18562127.55,344254883.43,10097106015.41,2359703898.79,4681661282.62,1790352535.24,106566774.2,,8938284490.85,1158821524.56,38946427358.27,6986000000.0,,60932493990.5,17758646466.9278,31703403945.84,10111558051.61,2396560428.56,12660175260.62,56398199618.82,4534294371.68,101771119.72,28400849052.84,159738651471.96,188139500524.8,15000066632.23,7834771081.5,,,1154759009.31,142827190.64,789193657.44,,,-2344086.48,,-27199646.03,-2689406380.65,-2145084677.34,-34162745.92,-1664015166.93,-6736584854.63,10677435880.51,,22605962036.88,,,,28400849052.84,,,95963583.66,1106247376.66,,188139500524.8,159738651471.96,,,1
000003.SZ,20200829,20200829,20200630,1,1,2,-1417007.73,,5129428.54,,,,,,,,,,,,,5409568.88,10538997.42,4562081.98,4888112.97,630278.34,,,,,,1312259.71,11392733.0,-853735.58,,,,,,,,,,,,,,,,,,34789.2,,,,,,,,-853735.58,2830266.18,1976530.6,,,,912.6,127243.62,4449.0,80796.0,,,,,,,,,2611.28,848319.72,-850471.43,,-853735.58,,,,-853735.58,,,,,,1976530.6,2830266.18,,,1
000004.SZ,20200831,20200831,20200630,1,1,2,2091171.89,89172.23,59455309.96,,,,,,,,,,,,,19226316.35,78681626.31,47541711.81,27024818.43,4601065.9,,,,,,35257967.1,114425563.24,-35743936.93,50000000.0,,,,20800000.0,70800000.0,4955049.06,,,100000000.0,,104955049.06,-34155049.06,8500000.0,,2402704.33,10902704.33,-69650967.6264,,89172.23,,,89172.23,10813532.1,,-59085453.89,147697471.46,88612017.57,,,,2667597.72,610404.7,1587945.73,36192.1,,,,,,,-627941.76,-152203.13,,-16000880.86,-26045395.55,,-35743936.93,,,,-59085453.89,,,,,,88612017.57,147697471.46,,,0
000005.SZ,20200829,20200829,20200630,1,1,2,-33501530.98,8668261.46,235548750.47,518880.38,,,,,,,,,,,,71968116.11,308035746.96,175124015.31,27087988.37,10020017.8,,,,,,55353889.65,267585911.13,40449835.83,,,,1000.0,,1000.0,20530787.76,,,,,20530787.76,-20529787.76,38000000.0,,,38000000.0,-42495501.18,79603606.77,9793937.95,,,89397544.72,-51397544.72,,-31477496.65,65462920.62,33985423.97,,,,-4847652.45,2956221.89,2300044.13,549884.79,,,,,,3731563.36,,,5301831.63,17262215.62,38028996.38,,40449835.83,,,,-31477496.65,,,,,,33985423.97,65462920.62,,,1
000006.SZ,20200828,20200828,20200630,1,1,2,231841925.22,88895602.36,915795956.0,,,,,,,,,,,,,685447487.13,1601243443.13,504005110.12,68846815.96,505399344.18,,,,,,757919352.79,1836170623.05,-234927179.92,,4745863876.7,,14500.0,,4745878376.7,2406376.2,4745000000.0,,,,4747406376.2,-1527999.5,128000000.0,,,128000000.0,-312882904.6098,38800000.0,397313836.79,,,436113836.79,-308113836.79,85089.91,-544483926.3,2980147032.88,2435663106.58,,,,,19423359.81,,2913523.85,,,9704.08,-28758.12,-866985.9,-42024586.88,-37472489.9,-247106.99,334401338.17,-38378517.5,-797319393.14,,-234927179.92,,,,-544483926.3,,,1609567.32,,,2435663106.58,2980147032.88,,,0
000007.SZ,20200828,20200828,20200630,1,1,2,-29908167.53,,20108700.74,,,,,,,,,,,,,6959039.91,27067740.65,4490005.47,8126438.38,4883669.34,,,,,,18283835.56,35783948.75,-8716208.1,35100000.0,,,7500000.0,,42600000.0,1122724.89,58844264.49,,,,59966989.38,-17366989.38,,,,,-9705626.13,,,,,,,,-26083197.48,43757710.55,17674513.07,,,,-245209.67,2212065.89,31650.0,100116.45,,,,4900.59,34897537.64,6073339.85,-8509800.26,,-1304140.8,-2885392.03,-9183108.23,,-8716208.1,,,,-26083197.48,,,,,,17674513.07,43757710.55,,,0
000008.SZ,20200829,20200829,20200630,1,1,2,-293260391.58,60130611.4,923191380.56,36665757.3,,,,,,,,,,,,89512050.74,1049369188.6,680232533.93,369234062.16,182545549.9,,,,,,204671628.61,1436683774.6,-387314586.0,,411982719.36,714840.39,25474651.0,22172300.0,460344510.75,43469317.62,1027845000.0,284353201.9,,,1355667519.52,-895323008.77,2261293222.22,,300000000.0,2570601192.22,-278894186.55,1613847497.01,76644606.2,2807671.23,2942546.22,1693434649.43,877166542.79,-81049.24,-405552101.22,1181995526.44,776443425.22,9307970.0,9307970.0,,69263913.83,22431426.88,24678737.18,4519636.28,,,-1294335.07,83061.67,-736004.69,8125499.96,-11635588.57,-1892444.36,-128113903.8,401281118.27,-540895923.4,,-387314586.0,,,,-405552101.22,,,,,,776443425.22,1181995526.44,,,0
000009.SZ,20200828,20200828,20200630,1,1,2,339647803.57,262508758.51,4207768323.35,52327086.64,,,,,,,,37988369.58,,,,634126467.59,4932210247.16,2531907787.01,633041489.81,870663144.77,7628847.64,,,5216168.35,,633547022.85,4682004460.43,250205786.73,92000000.0,2759292953.44,9275783.44,60517860.48,22261229.8,2943347827.16,395230622.37,2638910107.95,2851988.31,19794805.97,,3056787524.6,-113439697.44,1658140414.39,,10000000.0,1698750414.39,-416360411.8927,1535468231.78,367842781.3,21183381.54,5015932.0,1908326945.08,-209576530.69,-36391136.6,-109201578.0,5240493961.68,5131292383.68,30610000.0,30610000.0,,37226197.68,236598372.45,27440403.89,19613665.38,,,-925632.6,278251.97,-2709962.76,-220462573.86,86635521.3,710856.32,-96281521.93,1276537258.88,-1720103875.58,,250205786.73,,,,-109201578.0,,,,,,5126592283.68,5080077839.39,4700100.0,160416122.29,0
000010.SZ,20200825,20200825,20200630,1,1,2,21017306.4,43314820.65,283129822.87,23880.92,,,,,,,,,,,,644868815.56,928022519.35,488143258.17,24143529.23,7655113.22,,,,,,496978140.0,1016920040.62,-88897521.27,,,,1000.0,44338900.0,44339900.0,402716.16,,,,,402716.16,43937183.84,68329099.19,,182782418.75,251111517.94,127897488.4424,42861678.93,23665548.08,,65550000.0,132077227.01,119034290.93,,74073953.5,79802915.44,153876868.94,,,,1103389.63,3081334.39,206326.84,1960364.54,,,,,-18420880.0,,3917857.36,,-334470601.95,-221419346.74,410811907.61,,-88897521.27,,,,74073953.5,,,,,,153876868.94,79802915.44,,,1
