ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy,update_flag
000022.SZ,20121026,20120930,0.568,0.568,2.1082,2.1082,0.2568,0.7207,3.5893,2675710.0,363759340.0,747356098.0,0.4149,0.3994,0.398,5.3897,1.9981,0.5255,0.2068,534575240.0,649128319.0,,-383479040.6404,-112279040.6404,253820018.0,139198322.0,1875286892.0,1579876163.0,2436903751.0,-861684469.0,61847584.0,5450930701.0,2778943964.0,0.5683,5.546,0.824,4.31,-0.2844,1.0068,-0.5948,-0.1741,36.0677,54.9825,45.0175,11.6917,36.0677,,7.815,3.8767,,60.6716,43.6007,47.756,10.405,10.36,10.329,9.8755,7.4585,6.7745,13.8733,13.1673,34.3369,1.5229,1.8665,9.2503,90.7497,36.889,34.4031,65.5969,64.9279,35.0721,0.3608,0.5229,1.5764,1.9067,1.0743,1.2995,1.5425,0.2343,60.324,9.9447,5.5747,3233882211.0,43.8793,,58.6165,4.1212,4.1133,2.8059,36.1086,-5.4908,-5.4908,-1.9,-2.8973,-2.3035,-5.4127,-6.0618,-1.9117,-11.3328,3.12,1.0062,3.11,6.0292,6.0292,15.6003,23.9755,6.6768,0
000043.SZ,20121031,20120930,0.2918,0.2918,2.4233,2.4233,0.976,0.193,1.9339,228090593.08,-33463073.77,529736493.39,1.3308,0.4345,0.3691,5.7258,0.1881,8.8675,0.1298,-9399053.63,455911200.05,,330420675.898,1824357110.338,5636507533.9,436093738.44,4085441990.0,2795912434.36,2593907686.18,2330954626.19,2451425070.55,7749175121.06,1418559386.28,0.2918,4.1029,-0.9715,2.1269,0.5877,0.6836,0.4954,2.7353,11.872,32.7762,67.2238,22.8393,11.872,2.8254,10.7522,9.2616,0.0522,100.5815,18.2234,28.2084,7.3003,7.24,-1.2552,3.6609,1.5408,3.954,9.7337,4.8812,73.493,3.7726,4.6712,67.8456,32.1544,18.7668,52.721,35.3135,69.3687,30.6313,-0.092,2.7726,0.2694,0.6698,0.2554,0.6349,0.9277,-0.0638,1486.3874,2.0544,1.5628,4063933867.13,18.9468,3.6555,104.5968,7.2334,-1.3339,1.3944,-18.5645,191.2176,191.2176,30.41,179.6407,179.636,191.2325,-181.0375,-30.4113,116.8535,5.43,24.687,5.4302,8.0035,8.0035,53.5516,1047.2966,34.2992,1
688981.SH,20121105,20120930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5397,,0.308,25.809,,,,,56.4657,71.8336,,-15.9445,69.5179,,7.4086,-0.1589,17.5886,17.79,49.9427,,-7.5968,1
600816.SH,20121030,20120930,0.2853,0.2853,,,0.1203,,0.28,9483365.23,120065234.22,,,,,,,,,-137444911.67,,,,,,,,,,,,,127160364.37,0.2853,1.4367,-0.2621,0.28,-0.2564,,,,,,,,,,,,,,,,22.0447,22.04,20.4309,,13.7263,,29.3929,,23.2736,1.3033,1.5528,,,,,,,,,0.3033,3.1392,,,,,-0.5726,,18.3017,14.1967,201418632.86,,,,2.6324,2.5843,1.7631,,29.212,29.212,-19.19,21.2117,26.1254,29.2195,24.2973,-19.1978,-15.5532,24.77,-4.185,24.7755,,,,-69.019,53.0187,1
600691.SH,20121031,20120930,-0.4164,-0.4164,0.1981,0.1981,0.3642,0.1148,-3.423,-16915646.77,-30749782.11,4155140.51,0.2238,0.1251,0.1234,1.1794,0.4162,1.4194,0.2645,-30656859.21,-46649256.26,,4353653.59,4353653.59,234001794.18,70485932.97,1700000.0,552966.68,-230925931.58,-182947037.36,-182394070.68,-220843424.01,-378710911.07,-0.4164,-1.944,-0.03,-3.3081,-0.0311,-0.4075,0.038,0.038,-210.2312,18.3265,81.6735,118.9142,-210.2312,13.0967,101.3355,4.4819,33.6856,235.2139,-135.6237,-205.7493,,,,-54.419,-55.6045,,,-72.5586,366.0593,,,63.0704,36.9296,-276.0809,,,76.9795,23.0205,-0.0139,,-0.7268,-130.9079,-0.7542,-135.8388,-417.6127,-0.0107,557.5971,-74.1393,-55.6045,15395959.02,-210.2312,20.9141,257.0862,,,-19.4506,10.9247,-88.5016,-88.5016,50.0,-52.6766,-88.5139,-88.5139,-31.5315,54.6634,,-27.2584,-99.5213,-106.3817,13.592,13.592,115.6705,22.9478,45.6289,1
000047.SZ,20121027,20120930,,,0.0,0.0,1.9874,0.3287,-12.7528,0.0,-28807536.55,0.0,-0.0111,-0.0111,-0.0111,,,0.0,,-28807536.55,-3629078.75,-247310.6,25178457.8,25178457.8,310241764.8,,986021972.01,986002024.04,-1305144026.37,-1287931821.37,-324354797.33,-150184554.36,-1495908478.48,-0.2393,-9.4366,-0.0022,-12.424,0.0,-0.0301,0.2091,0.2091,,,,,,,,,,,,,,,,-2.2419,-17.7958,,,-2.9892,809.8753,,,-8.805,108.805,-815.4234,,,98.27,,-0.0002,,-0.8765,-1.1523,-1.0069,-1.3236,-1.3237,-0.0002,,-23.7277,-17.7958,5134158.33,,,,,,-5.9748,,,,21.4286,0.3233,0.3233,0.3233,0.3233,23.7096,,-2.6019,-2.225,-2.6014,,,,-0.0957,3.419,1
000675.SZ,20121030,20120930,,,0.0,0.0,0.5084,0.1113,-9.0167,967927.61,-22020221.32,0.0,0.0129,0.0128,0.0121,,0.0,0.0,,-20084366.1,-3235322.57,605814.36,16187190.67,16187190.67,366741449.59,282236325.02,309540168.33,306642426.08,-897371140.22,-663984377.5,-360933855.19,-547472104.05,-1018341699.77,-0.1841,-7.49,0.0074,-8.9055,0.0093,-0.0283,0.1416,0.1416,,,,,,,,,,,,,,,,-3.0441,-19.8082,,,-4.0588,932.7058,,,8.4709,91.5291,-873.2056,,,70.1802,29.4451,0.0013,,-0.8941,-2.7687,-0.9362,-2.899,-2.9264,0.0009,,-26.4109,-19.8082,51788246.34,,,,,,-4.0432,,,,234.5455,5.3316,-1.5726,-1.5726,-3.7931,233.5173,,-2.4624,-6.4,11.0716,,,,40.667,2.2617,1
000660.SZ,20121031,20120930,-0.03,,0.0848,0.0848,1.0403,0.1717,-11.1527,1071124.83,-4933390.16,4290836.9,0.0353,0.0304,0.0273,0.9896,0.2554,10.0579,0.248,-4060628.85,652758.39,711358.45,3164710.5091,2054710.5091,49331573.1,670000.0,1223224085.16,1220993360.26,-1231815026.72,-1227689715.72,-6696355.46,-8323106.35,-1459520524.12,-0.0291,-9.27,-0.0056,-10.981,-0.005,0.0049,0.0238,0.0155,-33.9855,38.067,61.933,68.758,-33.9855,12.134,24.3109,32.3131,,131.7809,-36.0247,5.7911,,,,1.4362,-8.4284,,,1.9149,2771.3355,,,97.6564,2.3436,-2681.2001,,,99.9474,0.0526,-0.0006,,-0.9673,-1.0068,-0.9675,-1.007,-1.0089,-0.0006,547.3393,-11.2379,-8.4977,808897.05,-26.522,7.5659,119.8001,,,-3.0076,-28.3214,,,-214.2857,-17.5194,13.8062,-36.7448,-75.4767,-213.0581,,-0.32,2.1885,-0.2497,0.183,0.183,17.7142,-13.2001,7.1858,1
601939.SH,20121029,20120930,0.63,0.63,1.365,1.365,0.5408,0.2703,1.5017,583000000.0,157608000000.0,,,,,,,,0.0267,195002000000.0,,,,,,,,,,,,,443011000000.0,0.6327,3.6349,0.9,1.772,0.2401,,,,46.4489,,,,46.4489,,25.4225,,6.7746,,59.991,,18.3954,18.135,18.3276,,1.2395,,24.5272,,93.0983,14.4892,14.872,,,,,,,,,13.4892,0.0734,,,,,0.0182,,1.6527,1.2369,102416000000.0,60.217,,,5.8577,5.8413,0.3882,-101.7371,12.5,12.5,410.34,14.2705,13.9067,13.7967,14.1409,413.0945,-3.1352,12.23,8.2614,12.0348,15.2375,15.2375,14.1375,-6.1322,17.4799,1
600556.SH,20121031,20120930,-0.0023,-0.0023,,,0.9194,0.0975,-2.1235,0.0,-893278.62,,0.3527,0.3527,0.3527,,,,,-2893278.62,-970474.89,,313673.16,313673.16,73093135.07,,0.0,-24521917.52,-42077049.75,-47310189.75,-71832107.27,-42077049.75,-799854489.89,-0.0023,-0.1066,-0.0019,-2.026,0.0067,-0.0025,0.0008,0.0008,,,,,,,,,,,,,,,,-3.0938,-2.8477,,,-4.1251,235.662,,,83.1277,16.8723,-135.662,,,100.0,,-0.0104,,-0.5757,,-0.5757,,,-0.0104,,-3.7969,-2.8477,5233140.0,,,,,,3.162,,42.5,42.5,79.7872,-75.3198,43.6349,43.6349,45.8713,79.5215,,-2.2052,-2.2213,-2.169,,,,15.6279,-30.4635,1
