ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,update_flag
601818.SH,20180428,20180428,20180331,1,2,1,0.17,0.16,25344000000.0,25344000000.0,39437000000.0,,9887000000.0,9314000000.0,3296000000.0,-30000000.0,,,,,,,,88000000.0,-452000000.0,4076000000.0,,-303000000.0,14265000000.0,,26821000000.0,573000000.0,265000000.0,,6922000000.0,,6960000000.0,,,,,,14265000000.0,,,,118000000.0,11079000000.0,34000000.0,13000000.0,,11100000000.0,2029000000.0,9071000000.0,9051000000.0,20000000.0,847000000.0,9918000000.0,9899000000.0,19000000.0,,,,,,,,,,,,,,,,,,,,,,,0
600958.SH,20180427,20180427,20180331,1,4,1,0.06,,1944336176.58,1944336176.58,,,,1547696048.62,631107884.64,7684222.0,,,,,397347546.39,254536168.69,814425704.09,222312530.38,-492382105.59,1104710509.6,282679404.01,11095258.63,1562032273.65,,,,20785590.03,,1325877840.03,,740535.21,,,,,,1562032273.65,,,,214628308.38,382303902.93,102730741.78,2335841.66,,482698803.05,30015946.5,452682856.55,436172745.35,16510111.2,-241934901.26,210747955.29,194237844.09,16510111.2,,,,,,,,,,,,,,,,,,,,,,,0
601328.SH,20180428,20180428,20180331,1,2,1,0.27,0.27,49099000000.0,49099000000.0,85428000000.0,,11685000000.0,10844000000.0,2741000000.0,2119000000.0,,,,,,,,4050000000.0,1096000000.0,883000000.0,65000000.0,-1386000000.0,25802000000.0,,54959000000.0,841000000.0,615000000.0,,13395000000.0,,7073000000.0,,,,,,25802000000.0,,,,1931000000.0,23297000000.0,122000000.0,34000000.0,,23385000000.0,3153000000.0,20232000000.0,20091000000.0,141000000.0,-1576000000.0,18656000000.0,18565000000.0,91000000.0,,,,,,,,,,,,,,,,,,,,,,,0
601688.SH,20180427,20180427,20180331,1,4,1,0.2657,0.2657,4289557776.25,4289557776.25,,,,1984356709.01,1506146487.17,32895836.75,,,,,985797707.36,407287808.6,565753074.83,63408930.64,116669989.34,1350111953.06,580299432.76,6468708.02,1887964740.8,,,,34165880.79,,1875419088.56,,-52133322.44,,,,,,1887964740.8,,,,30513093.89,2401593035.45,2843841.02,671657.29,,2403765219.18,483253618.85,1920511600.33,1903006658.17,17504942.16,-230137979.48,1690373620.85,1672832952.64,17540668.21,,,,,,,,,,,,,,,,,,,,,,,0
601939.SH,20180427,20180427,20180331,1,2,1,0.3,0.3,183221000000.0,183221000000.0,199141000000.0,,40872000000.0,37931000000.0,3618000000.0,-2511000000.0,,,,,,,,16479000000.0,1115000000.0,2147000000.0,48000000.0,2867000000.0,93318000000.0,,76459000000.0,2941000000.0,1400000000.0,,34688000000.0,,38240000000.0,,,,,,93318000000.0,,,,18990000000.0,89903000000.0,757000000.0,167000000.0,,90493000000.0,16417000000.0,74076000000.0,73815000000.0,261000000.0,4405000000.0,78481000000.0,78309000000.0,172000000.0,,,,,,,,,,,,,,,,,,,,,,,0
601211.SH,20180428,20180428,20180331,1,4,1,0.26,0.26,6244526708.0,6244526708.0,,,,2298565693.0,1902333688.0,5089065.0,,,,,1390011727.0,445815401.0,423282758.0,171923697.0,-440466724.0,2461841431.0,-3495461.0,-124130084.0,3088563575.0,,,,48184616.0,,2694920086.0,,178624241.0,,,,,,3088563575.0,,,,166834632.0,3155963133.0,61105293.0,2070181.0,,3214998245.0,766067198.0,2448931047.0,2259498732.0,189432315.0,-480942891.0,1967988156.0,1958325810.0,9662346.0,,,,,,,,,,,,,,,,,,,,,,,0
600837.SH,20180427,20180427,20180331,1,4,1,0.15,0.15,5704680933.31,5704680933.31,,,,1948769411.78,1497915550.81,240901757.5,,,,,899001133.57,576017380.97,447381937.53,1281872237.7,-18260458.67,1340616404.77,59290663.44,-65342152.79,3400744570.35,,,,43187213.62,,2135816326.28,,180770550.25,,,,,,3400744570.35,,,,1040970480.2,2303936362.96,304389156.27,6523033.38,,2601802485.85,609907639.54,1991894846.31,1732104646.77,259790199.54,-516982532.67,1474912313.64,1744829009.51,-269916695.87,,,,,,,,,,,,,,,,,,,,,,,0
600999.SH,20180427,20180427,20180331,1,4,1,0.133,0.133,2622191987.09,2622191987.09,,,,1790848007.38,529529740.96,19333268.64,,,,,1018241311.05,354718022.6,278738540.79,19333268.64,-186023516.15,773720604.12,243547722.44,-77500615.65,1282408372.87,,,,25463441.02,,1241465172.4,,15479759.45,,,,,,1282408372.87,,,,,1339783614.22,6657376.99,439156.04,,1346001835.17,264168442.78,1081833392.39,1091803298.33,-9969905.94,-46478386.58,1035355005.81,1045324911.75,-9969905.94,,,,,,,,,,,,,,,,,,,,,,,0
601336.SH,20180427,20180427,20180331,1,3,1,0.84,0.84,46159000000.0,46159000000.0,,38619000000.0,,,6874000000.0,-515000000.0,39434000000.0,404000000.0,411000000.0,,,,,151000000.0,-111000000.0,7625000000.0,87000000.0,-125000000.0,42536000000.0,,,4149000000.0,25000000.0,,2634000000.0,,201000000.0,18952000000.0,12486000000.0,3704000000.0,23000000.0,,42536000000.0,156000000.0,89000000.0,59000000.0,666000000.0,3623000000.0,3000000.0,22000000.0,,3604000000.0,994000000.0,2610000000.0,2609000000.0,1000000.0,-812000000.0,1798000000.0,1797000000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,0
601318.SH,20180427,20180427,20180331,1,3,1,1.44,1.44,310452000000.0,310452000000.0,,238686000000.0,,,27050000000.0,-4676000000.0,253109000000.0,5755000000.0,8668000000.0,76000000.0,,,,10974000000.0,-4795000000.0,36645000000.0,,-124000000.0,270877000000.0,,,37190000000.0,929000000.0,,30723000000.0,,11075000000.0,6891000000.0,60182000000.0,104669000000.0,7576000000.0,13000000.0,270877000000.0,1982000000.0,47000000.0,1992000000.0,15650000000.0,39575000000.0,69000000.0,60000000.0,,39584000000.0,10633000000.0,28951000000.0,25702000000.0,3249000000.0,-658000000.0,28293000000.0,24811000000.0,3482000000.0,,,,,,,,,,,,,,,,,,,,,,,0
