trade_date,open,high,low,close,pre_close,pct_chg,vol
2020-01-02,1005.617,1019.91,1005.617,1019.723,,,165906987.0
2020-01-03,1021.669,1029.071,1018.681,1024.482,,0.4667,166149031.0
2020-01-06,1019.999,1040.14,1019.999,1027.277,,0.2728,184335092.0
2020-01-07,1025.663,1043.083,1019.858,1043.083,,1.5386,187496602.0
2020-01-08,1035.836,1059.436,1034.513,1051.16,,0.7743,237912351.0
2020-01-09,1060.58,1081.404,1060.58,1078.312,,2.5831,211330302.0
2020-01-10,1082.31,1088.543,1076.438,1076.438,,-0.1738,190319403.0
2020-01-13,1076.762,1105.848,1069.779,1105.848,,2.7322,185966316.0
2020-01-14,1107.776,1133.899,1107.776,1118.306,,1.1266,245350228.0
2020-01-15,1113.252,1120.346,1105.575,1114.766,,-0.3166,179932386.0
2020-01-16,1116.508,1161.477,1116.508,1154.303,,3.5467,224341670.0
2020-01-17,1159.372,1252.556,1159.372,1238.664,,7.3084,440888969.0
2020-01-20,1239.439,1270.359,1208.69,1240.509,,0.149,368152283.0
2020-01-21,1233.646,1247.841,1194.797,1195.014,,-3.6674,274756549.0
2020-01-22,1178.784,1247.61,1157.29,1244.525,,4.1431,342102813.0
2020-01-23,1219.233,1262.436,1177.094,1202.102,,-3.4088,273515940.0
2020-02-03,1018.276,1082.789,1015.597,1030.55,,-14.271,386047260.0
2020-02-04,1049.956,1153.232,1049.956,1153.232,,11.9045,347965965.0
2020-02-05,1166.973,1240.368,1166.973,1203.613,,4.3687,392035999.0
2020-02-06,1191.731,1251.843,1191.731,1238.757,,2.9199,368434113.0
2020-02-07,1240.038,1307.757,1234.234,1307.757,,5.5701,374551341.0
2020-02-10,1310.526,1336.526,1293.43,1322.25,,1.1082,439487378.0
2020-02-11,1318.42,1318.42,1266.214,1283.572,,-2.9252,330464613.0
2020-02-12,1274.796,1360.549,1274.796,1348.702,,5.0741,311360771.0
2020-02-13,1360.129,1409.684,1353.045,1360.709,,0.8903,399888022.0
2020-02-14,1359.373,1382.955,1305.974,1327.224,,-2.4608,353707254.0
2020-02-17,1332.965,1381.553,1332.965,1381.553,,4.0934,327901095.0
2020-02-18,1381.583,1404.712,1372.526,1399.384,,1.2906,323524083.0
2020-02-19,1398.781,1412.169,1373.444,1373.444,,-1.8537,320905108.0
2020-02-20,1377.756,1390.019,1321.734,1348.338,,-1.828,282919053.0
2020-02-21,1337.557,1373.667,1337.557,1346.863,,-0.1094,241927963.0
2020-02-24,1341.988,1359.227,1328.747,1351.71,,0.3599,251136226.0
2020-02-25,1312.479,1371.576,1312.479,1367.368,,1.1584,292358949.0
2020-02-26,1348.075,1361.006,1286.345,1288.242,,-5.7867,315549537.0
2020-02-27,1293.187,1293.187,1251.451,1264.941,,-1.8087,218239827.0
2020-02-28,1206.858,1231.094,1187.096,1191.055,,-5.8411,260673872.0
2020-03-02,1202.959,1259.076,1194.937,1252.624,,5.1693,292826072.0
2020-03-03,1278.269,1332.835,1272.063,1285.034,,2.5874,296796136.0
2020-03-04,1268.834,1277.686,1226.802,1255.723,,-2.281,193242042.0
2020-03-05,1277.706,1277.706,1246.714,1264.788,,0.7219,262145959.0
2020-03-06,1246.096,1255.074,1237.623,1243.373,,-1.6932,182990820.0
2020-03-09,1216.035,1223.246,1171.859,1171.859,,-5.7516,234517251.0
2020-03-10,1148.397,1216.328,1135.209,1216.328,,3.7947,243077326.0
2020-03-11,1218.516,1233.426,1184.71,1184.71,,-2.5995,284299305.0
2020-03-12,1161.922,1177.36,1151.785,1167.065,,-1.4894,175273209.0
2020-03-13,1103.956,1187.701,1103.956,1175.282,,0.7041,201067415.0
2020-03-16,1188.078,1200.464,1115.084,1115.084,,-5.122,192052179.0
2020-03-17,1132.949,1141.388,1079.838,1131.547,,1.4764,171222118.0
2020-03-18,1145.302,1173.234,1115.019,1115.019,,-1.4607,177120122.0
2020-03-19,1116.263,1133.695,1091.24,1128.973,,1.2515,162440873.0
2020-03-20,1140.092,1148.09,1114.291,1127.369,,-0.1421,123823848.0
2020-03-23,1092.501,1096.4,1037.528,1039.884,,-7.7601,160985605.0
2020-03-24,1067.014,1071.34,1020.249,1060.843,,2.0155,128689586.0
2020-03-25,1097.309,1110.099,1094.163,1101.319,,3.8155,148927443.0
2020-03-26,1093.331,1111.484,1091.004,1095.338,,-0.5431,106191661.0
2020-03-27,1109.542,1110.537,1082.932,1084.505,,-0.989,131457605.0
2020-03-30,1062.899,1062.899,1021.499,1035.827,,-4.4885,122368363.0
2020-03-31,1048.736,1055.268,1027.224,1029.749,,-0.5868,90623043.0
2020-04-01,1026.575,1060.708,1026.575,1037.927,,0.7942,98042280.0
2020-04-02,1033.559,1094.826,1033.559,1094.826,,5.482,110178325.0
2020-04-03,1089.242,1095.311,1074.186,1080.53,,-1.3058,94951658.0
2020-04-07,1109.611,1117.789,1108.778,1111.654,,2.8804,111452591.0
2020-04-08,1104.955,1117.806,1100.31,1104.145,,-0.6755,89813540.0
2020-04-09,1107.474,1110.06,1094.924,1101.281,,-0.2594,82133870.0
2020-04-10,1100.368,1100.368,1054.346,1058.44,,-3.8901,100964372.0
2020-04-13,1048.206,1052.006,1038.818,1042.145,,-1.5395,67618853.0
2020-04-14,1049.212,1073.217,1049.212,1073.217,,2.9815,70567612.0
2020-04-15,1076.941,1101.674,1076.941,1088.203,,1.3964,81856129.0
2020-04-16,1080.873,1097.198,1080.873,1091.933,,0.3428,73003011.0
2020-04-17,1102.657,1129.12,1102.657,1117.07,,2.3021,144351118.0
2020-04-20,1119.259,1133.361,1115.722,1133.361,,1.4584,93872771.0
2020-04-21,1127.658,1127.658,1108.476,1119.229,,-1.2469,88406560.0
2020-04-22,1108.683,1135.849,1108.683,1135.849,,1.485,85565078.0
2020-04-23,1140.801,1157.869,1140.549,1149.716,,1.2208,118832048.0
2020-04-24,1148.59,1155.543,1139.305,1144.153,,-0.4839,129037593.0
2020-04-27,1140.194,1145.748,1136.234,1138.1,,-0.529,88370033.0
2020-04-28,1130.615,1130.615,1037.26,1113.513,,-2.1604,158296596.0
2020-04-29,1105.6,1125.193,1102.572,1102.698,,-0.9713,89978997.0
2020-04-30,1107.426,1171.8,1107.426,1166.348,,5.7722,138747171.0
2020-05-06,1155.117,1252.754,1155.117,1247.513,,6.9589,217181485.0
2020-05-07,1249.636,1249.636,1218.238,1224.105,,-1.8764,161951936.0
2020-05-08,1230.907,1272.625,1230.907,1240.246,,1.3186,144063840.0
2020-05-11,1244.303,1268.077,1215.97,1226.061,,-1.1437,116680749.0
2020-05-12,1222.387,1233.639,1203.147,1233.592,,0.6142,108314234.0
2020-05-13,1227.722,1252.578,1227.722,1247.034,,1.0897,109820020.0
2020-05-14,1241.844,1258.254,1238.23,1242.169,,-0.3901,127744198.0
2020-05-15,1244.741,1280.05,1244.741,1270.481,,2.2792,128687238.0
2020-05-18,1279.29,1279.29,1253.328,1254.299,,-1.2737,151773963.0
2020-05-19,1260.221,1324.418,1260.221,1324.418,,5.5903,148417094.0
2020-05-20,1317.404,1348.577,1297.673,1306.998,,-1.3153,201616810.0
2020-05-21,1305.912,1309.505,1251.523,1251.931,,-4.2132,152917671.0
2020-05-22,1247.605,1258.314,1208.82,1230.659,,-1.6991,133437360.0
2020-05-25,1223.866,1227.559,1205.725,1212.087,,-1.5091,99724588.0
2020-05-26,1217.622,1272.92,1217.622,1272.661,,4.9975,143623033.0
2020-05-27,1271.457,1281.205,1251.082,1253.272,,-1.5235,147229634.0
2020-05-28,1251.059,1256.218,1206.617,1232.22,,-1.6798,127009914.0
2020-05-29,1227.2,1267.427,1227.2,1246.111,,1.1273,125881880.0
2020-06-01,1257.966,1309.96,1257.966,1300.741,,4.384,168550636.0
2020-06-02,1305.797,1312.516,1294.219,1305.637,,0.3764,160370741.0
2020-06-03,1305.734,1314.144,1293.595,1294.28,,-0.8698,157891795.0
2020-06-04,1295.155,1306.067,1291.208,1299.803,,0.4267,186573206.0
2020-06-05,1300.254,1307.887,1292.051,1297.306,,-0.1921,159726228.0
2020-06-08,1306.497,1311.682,1277.289,1280.053,,-1.3299,149418346.0
