trade_date,open,high,low,close,pre_close,pct_chg,vol
2026-06-15,51364.55,51945.89,51364.55,51671.03,51202.26,0.92,509663.88
2026-06-16,51712.63,52190.29,51712.63,51999.67,51671.03,0.64,449788.19
2026-06-17,51937.56,52281.19,51392.58,51492.55,51999.67,-0.98,496041.88
2026-06-18,51571.85,51949.26,51554.53,51564.7,51492.55,0.14,985372.69
2026-06-22,51555.19,51887.85,51555.19,51712.71,51564.7,0.29,531542.0
2026-06-23,51735.64,51872.56,51301.77,51666.84,51712.71,-0.09,569180.19
2026-06-24,51660.75,52248.69,51617.73,51848.9,51666.84,0.35,560271.69
2026-06-25,52009.02,52655.66,51857.78,51920.62,51848.9,0.14,639230.19
2026-06-26,51803.77,52130.07,51614.74,51876.11,51920.62,-0.09,1321068.0
2026-06-29,51995.14,52311.63,51949.54,52182.74,51876.11,0.59,592815.69
2026-06-30,52168.18,52387.45,52033.13,52319.2,52182.74,0.26,639535.69
2026-07-01,52231.18,52742.66,52026.64,52305.24,52319.2,-0.03,627339.19
2026-07-02,52395.22,52903.85,52395.22,52900.07,52305.24,1.14,548821.13
2026-07-03,52395.22,52903.85,52395.22,52900.07,52900.07,0.0,548821.13
2026-07-06,52828.45,53060.1,52648.69,53055.91,52900.07,0.29,467397.19
2026-07-07,53104.06,53289.3,52774.17,52925.15,53055.91,-0.25,443184.82
