trade_date,open,high,low,close,pre_close,pct_chg,vol
2026-06-15,10471.37,10570.09,10419.22,10430.62,10471.72,-0.39,812693.0
2026-06-16,10431.26,10523.51,10428.56,10494.21,10430.62,0.61,737349.63
2026-06-17,10494.4,10508.61,10468.43,10508.61,10494.21,0.14,705672.57
2026-06-18,10510.16,10510.16,10376.59,10399.7,10508.61,-1.04,966474.57
2026-06-19,10400.46,10418.58,10352.9,10363.27,10399.7,-0.35,1815006.0
2026-06-22,10363.58,10443.16,10346.63,10437.85,10363.27,0.72,1097668.0
2026-06-23,10438.24,10462.19,10332.4,10428.85,10437.85,-0.09,896192.82
2026-06-24,10429.02,10469.33,10406.95,10461.63,10428.85,0.31,960306.0
2026-06-25,10461.52,10575.31,10415.45,10529.89,10461.63,0.65,1004842.0
2026-06-26,10530.18,10530.18,10404.73,10508.02,10529.89,-0.21,763639.19
2026-06-29,10507.83,10521.03,10471.98,10484.22,10508.02,-0.23,724560.75
2026-06-30,10484.31,10613.18,10483.86,10497.12,10484.22,0.12,832111.19
2026-07-01,10497.6,10508.25,10429.17,10478.34,10497.12,-0.18,885709.0
2026-07-02,10477.76,10694.94,10436.76,10652.87,10478.34,1.67,891213.13
2026-07-03,10652.81,10701.32,10604.25,10679.03,10652.87,0.2456,42400.0
2026-07-06,10679.38,10733.39,10618.43,10651.77,10679.03,-0.2553,57523.0
2026-07-07,10651.3,10747.01,10651.17,10665.88,10651.77,0.1325,64093.0
2026-07-08,10666.09,10666.09,10467.01,10489.04,10665.88,-1.658,73677.0
2026-07-09,10487.89,10539.47,10397.48,10472.45,10489.04,-0.1582,55030.0
2026-07-10,10471.94,10513.9,10462.75,10497.29,10472.45,0.2372,74063.0
