trade_date,open,high,low,close,pre_close,pct_chg,vol
2026-06-15,25068.37,25085.8,24882.01,24894.01,24635.3,1.05,61994.81
2026-06-16,24942.73,25110.28,24900.73,24910.41,24894.01,0.07,50230.04
2026-06-17,24816.96,24956.48,24763.53,24934.67,24910.41,0.1,74652.94
2026-06-18,24996.54,25059.37,24840.27,25026.8,24934.67,0.37,88160.13
2026-06-19,25075.33,25173.02,24951.54,24985.82,25026.8,-0.16,168118.13
2026-06-22,25035.93,25176.21,24896.19,25139.69,24985.82,0.62,64975.48
2026-06-23,24835.56,24988.71,24728.57,24893.58,25139.69,-0.98,63384.54
2026-06-24,24790.7,24800.66,24593.48,24740.36,24893.58,-0.62,61157.3
2026-06-25,24810.0,25088.28,24761.72,24994.83,24740.36,1.03,71131.63
2026-06-26,24848.51,24869.63,24547.7,24671.22,24994.83,-1.29,61881.13
2026-06-29,24724.34,24762.24,24556.78,24626.89,24671.22,-0.18,56261.38
2026-06-30,24815.22,25024.27,24794.84,24995.81,24626.89,1.5,75866.63
