trade_date,open,high,low,close,pre_close,pct_chg,vol
2026-06-15,4788.83,4794.67,4737.97,4765.58,4705.2,1.28,
2026-06-16,4765.49,4765.49,4639.81,4658.65,4765.58,-2.24,
2026-06-17,4636.78,4681.19,4617.49,4669.07,4658.65,0.22,
2026-06-18,4628.07,4639.36,4567.28,4604.35,4669.07,-1.39,
2026-06-22,4595.07,4595.07,4513.97,4549.41,4604.35,-1.19,
2026-06-23,4551.45,4559.59,4380.76,4399.22,4549.41,-3.3,
2026-06-24,4420.41,4543.67,4411.91,4479.02,4399.22,1.81,
2026-06-25,4497.27,4497.27,4353.16,4405.92,4479.02,-1.63,
2026-06-26,4371.54,4371.54,4229.94,4255.59,4405.92,-3.41,
2026-06-29,4323.56,4431.39,4320.85,4393.01,4255.59,3.23,
