trade_date,open,high,low,close,pre_close,pct_chg,vol
2013-08-20,10150.37,10237.4,9850.51,9901.78,0.0,0.0,15230760960.0
2013-08-21,9921.81,9921.81,9760.14,9856.86,9901.78,-0.4537,1505927898.0
2013-08-22,9714.04,9975.82,9714.04,9967.77,9856.86,1.1252,1620546668.0
2013-08-23,10045.38,10099.09,9871.24,9932.35,9967.77,-0.3553,1444988523.0
2013-08-26,9992.44,10123.46,9956.6,10075.09,9932.35,1.4371,1194783310.0
2013-08-27,10036.0,10073.76,9927.16,9988.23,10075.09,-0.8621,1223397462.0
2013-08-28,9825.35,9873.41,9719.69,9770.37,9988.23,-2.1812,1834574710.0
2013-08-29,9850.17,9906.73,9784.09,9850.72,9770.37,0.8224,1237365424.0
2013-08-30,9795.66,9856.27,9738.91,9825.21,9850.72,-0.259,1344757516.0
2013-09-02,9962.2,10062.97,9962.2,10055.05,9825.21,2.3393,1705015358.0
2013-09-03,10129.61,10289.32,10129.61,10254.48,10055.05,1.9834,1928920308.0
2013-09-04,10121.53,10277.6,10085.65,10234.95,10254.48,-0.1905,3884134311.0
2013-09-05,10348.38,10392.92,10300.86,10338.89,10234.95,1.0155,2003854961.0
2013-09-06,10311.01,10384.36,10297.52,10334.07,10338.89,-0.0466,1759582708.0
2013-09-09,10426.58,10570.29,10426.58,10528.69,10334.07,1.8833,2053306152.0
2013-09-10,10653.17,10708.47,10599.37,10697.44,10528.69,1.6028,2160013619.0
2013-09-11,10759.77,10784.03,10584.22,10636.71,10697.44,-0.5677,1894880704.0
2013-09-12,10668.89,10736.51,10623.33,10641.25,10636.71,0.0427,1693026840.0
2013-09-13,10608.02,10608.02,10454.63,10536.82,10641.25,-0.9814,2341522486.0
2013-09-16,10702.94,10723.43,10643.54,10706.63,10536.82,1.6116,1366289039.0
2013-09-17,10729.4,10729.4,10603.26,10657.83,10706.63,-0.4558,1388526942.0
2013-09-18,10691.96,10691.96,10559.51,10588.01,10657.83,-0.6551,1354950639.0
2013-09-19,10822.98,10830.46,10722.89,10769.54,10588.01,1.7145,1953007633.0
2013-09-23,0.0,10777.4,10634.85,10717.72,10769.54,-0.4812,1501986980.0
2013-09-24,10692.74,10703.31,10538.38,10601.87,10717.72,-1.0809,1532030505.0
2013-09-25,10621.11,10690.46,10571.32,10598.18,10601.87,-0.0348,1344475537.0
2013-09-26,10581.54,10587.46,10484.39,10541.03,10598.18,-0.5392,1645101127.0
2013-09-27,10576.21,10583.78,10439.23,10485.39,10541.03,-0.5278,1487116160.0
2013-09-30,10374.65,10395.91,10302.31,10316.12,10485.39,-1.6143,1487229202.0
2013-10-02,10396.63,10440.09,10314.21,10333.59,10316.12,0.1693,1485577599.0
2013-10-03,10427.51,10524.8,10371.68,10514.55,10333.59,1.7512,1084345330.0
2013-10-04,10418.85,10522.71,10389.33,10509.24,10514.55,-0.0505,1153354234.0
