trade_date,open,high,low,close,pre_close,pct_chg,vol
2026-06-15,3734.14,3743.07,3705.49,3713.83,3684.66,0.79,11094304.0
2026-06-16,3714.47,3714.47,3642.38,3658.75,3713.83,-1.48,10029589.0
2026-06-17,3659.16,3669.91,3629.03,3637.99,3658.75,-0.57,10448504.0
2026-06-18,3616.35,3618.1,3556.85,3584.79,3637.99,-1.46,15279249.0
2026-06-22,3568.84,3581.31,3517.3,3566.32,3584.79,-0.52,13664453.0
2026-06-23,3571.79,3572.31,3478.74,3494.57,3566.32,-2.01,11057119.0
2026-06-24,3504.62,3531.41,3477.66,3503.68,3494.57,0.26,10701908.0
2026-06-25,3502.32,3502.32,3441.2,3457.36,3503.68,-1.32,13128838.0
2026-06-26,3438.72,3439.59,3363.3,3387.25,3457.36,-2.03,12826485.0
2026-06-29,3409.26,3463.15,3403.11,3442.49,3387.25,1.63,11654810.0
2026-06-30,3442.89,3455.97,3397.39,3428.5,3442.49,-0.41,14294297.0
2026-07-02,3458.81,3491.05,3428.31,3443.2,3428.5,0.43,12320256.0
2026-07-03,3464.83,3514.34,3463.48,3495.37,3443.2,1.52,11495013.0
2026-07-06,3506.12,3537.21,3479.81,3530.62,3495.37,1.01,10230505.0
