trade_date,open,high,low,close,pre_close,pct_chg,vol
2026-06-15,25001.42,25047.9,24796.3,24842.67,24718.1,0.5,3636246.0
2026-06-16,24826.19,24844.98,24378.69,24493.95,24842.67,-1.4,3145212.0
2026-06-17,24495.85,24560.19,24254.07,24312.16,24493.95,-0.74,3054960.0
2026-06-18,24145.19,24163.25,23749.99,23924.81,24312.16,-1.59,4835284.0
2026-06-22,23811.76,23863.71,23444.86,23768.52,23924.81,-0.65,4050276.0
2026-06-23,23800.02,23825.81,23252.13,23336.28,23768.52,-1.82,3689240.0
2026-06-24,23420.7,23565.65,23248.87,23412.18,23336.28,0.33,3460062.0
2026-06-25,23388.5,23388.5,22978.59,23076.91,23412.18,-1.43,4265696.0
2026-06-26,22952.09,22962.46,22518.0,22671.86,23076.91,-1.76,4194503.0
2026-06-29,22827.65,23183.17,22783.64,23026.68,22671.86,1.57,3457628.0
2026-06-30,23007.87,23086.85,22685.14,22881.02,23026.68,-0.63,4494685.0
2026-07-02,23071.43,23335.92,22953.7,23055.03,22881.02,0.76,4144509.0
2026-07-03,23240.85,23516.7,23226.2,23350.03,23055.03,1.28,3394556.0
