trade_date,open,high,low,close,pre_close,pct_chg,vol
2026-06-15,66783.25,69682.25,66783.25,69317.5,66020.06,4.99,1683480.0
2026-06-16,69288.94,70020.69,69095.69,69404.5,69317.5,0.13,1538110.0
2026-06-17,69005.88,70125.75,68985.63,69902.25,69404.5,0.72,1442800.0
2026-06-18,70163.69,71398.56,70092.94,71053.5,69902.25,1.65,1567120.0
2026-06-19,71551.0,71953.0,70518.0,71250.06,71053.5,0.28,2143560.0
2026-06-22,71067.13,72831.75,71009.5,72353.94,71250.06,1.55,1332000.0
2026-06-23,72404.38,72618.44,69788.38,69788.38,72353.94,-3.55,1723490.0
2026-06-24,69615.06,70218.69,68461.13,69175.0,69788.38,-0.88,1538710.0
2026-06-25,70114.06,72594.25,69982.69,72366.31,69175.0,4.61,1510020.0
2026-06-26,71587.69,71786.25,68639.81,69360.88,72366.31,-4.15,1569060.0
2026-06-29,69609.88,69609.88,67997.56,69468.13,69360.88,0.15,1823990.0
2026-06-30,70085.63,70667.0,69302.19,70062.31,69468.13,0.86,1604700.0
2026-07-01,70774.25,71962.31,70126.13,70474.96,70062.32,0.59,1633750.0
2026-07-02,70039.88,70081.38,68676.25,68733.15,70474.96,-2.47,1699030.0
2026-07-03,68676.06,69788.03,67609.49,69744.07,68733.15,1.47,1592923.2
2026-07-06,69973.34,70384.59,68904.41,69737.69,69744.07,-0.01,1353892.5
2026-07-07,69460.08,69957.51,68003.92,68256.96,69737.69,-2.12,1749720.9
