trade_date,open,high,low,close,pre_close,pct_chg,vol
2026-06-15,2982.35,2996.42,2960.68,2965.09,2943.99,0.72,
2026-06-16,2971.61,2984.81,2936.36,2939.19,2965.09,-0.87,
2026-06-17,2945.79,2977.2,2910.95,2917.98,2939.19,-0.72,
2026-06-18,2952.58,2980.6,2939.82,2979.77,2917.98,2.12,
2026-06-22,2992.36,3015.41,2985.09,3004.4,2979.77,0.83,
2026-06-23,2964.27,2996.96,2951.23,2975.48,3004.4,-0.96,
2026-06-24,2977.76,3015.05,2969.72,2986.62,2975.48,0.37,
2026-06-25,3005.47,3033.75,2989.2,3007.86,2986.62,0.71,
2026-06-26,2990.06,3018.87,2979.11,3010.08,3007.86,0.07,
2026-06-29,3000.91,3011.95,2969.87,3010.42,3010.08,0.01,
2026-06-30,3007.15,3030.61,3000.25,3024.37,3010.42,0.46,
2026-07-01,3018.48,3046.59,3010.88,3012.59,3024.37,-0.39,
2026-07-02,3023.77,3039.84,2971.17,2996.11,3012.59,-0.55,
2026-07-06,2996.98,3024.37,2996.98,3009.541,2996.11,0.4483,497111.0
2026-07-07,3008.51,3016.57,2974.14,2982.488,3009.541,-0.8989,504959.0
2026-07-08,2969.63,2971.15,2927.12,2956.389,2982.488,-0.8751,510202.0
2026-07-09,2963.28,2998.27,2963.28,2992.542,2956.389,1.2229,444295.0
2026-07-10,2996.11,2998.18,2963.16,2977.81,2992.542,-0.4923,400637.0
