date,1y,5y
20260320,3.0,3.5
20260224,3.0,3.5
20260120,3.0,3.5
20251222,3.0,3.5
20251120,3.0,3.5
20251020,3.0,3.5
20250922,3.0,3.5
20250820,3.0,3.5
20250721,3.0,3.5
20250620,3.0,3.5
20250520,3.0,3.5
20250421,3.1,3.6
20250320,3.1,3.6
20250220,3.1,3.6
20250120,3.1,3.6
20241220,3.1,3.6
20241021,3.1,3.6
20240920,3.35,3.85
20240820,3.35,3.85
20240722,3.35,3.85
20240620,3.45,3.95
20240520,3.45,3.95
20240422,3.45,3.95
20240320,3.45,3.95
20240220,3.45,3.95
20240122,3.45,4.2
20231220,3.45,4.2
20231120,3.45,4.2
20231020,3.45,4.2
20230920,3.45,4.2
20230821,3.45,4.2
20230720,3.55,4.2
20230620,3.55,4.2
20230522,3.65,4.3
20230420,3.65,4.3
20230320,3.65,4.3
20230220,3.65,4.3
20230120,3.65,4.3
20221220,3.65,4.3
20221121,3.65,4.3
20221020,3.65,4.3
20220920,3.65,4.3
20220822,3.65,4.3
20220720,3.7,4.45
20220620,3.7,4.45
20220520,3.7,4.45
20220420,3.7,4.6
20220321,3.7,4.6
20220221,3.7,4.6
20220120,3.7,4.6
20211220,3.8,4.65
20211122,3.85,4.65
20211020,3.85,4.65
20210922,3.85,4.65
20210820,3.85,4.65
20210720,3.85,4.65
20210621,3.85,4.65
20210520,3.85,4.65
20210420,3.85,4.65
20210322,3.85,4.65
20210220,3.85,4.65
20210120,3.85,4.65
20201221,3.85,4.65
20201120,3.85,4.65
20201020,3.85,4.65
20200921,3.85,4.65
20200820,3.85,4.65
20200720,3.85,4.65
20200622,3.85,4.65
20200520,3.85,4.65
20200420,3.85,4.65
20200320,4.05,4.75
20200220,4.05,4.75
20200120,4.15,4.8
20191220,4.15,4.8
20191120,4.15,4.8
20191021,4.2,4.85
20190920,4.2,4.85
20190820,4.25,4.85
20190816,4.31,
20190815,4.31,
20190814,4.31,
20190813,4.31,
20190812,4.31,
20190809,4.31,
20190808,4.31,
20190807,4.31,
20190806,4.31,
20190805,4.31,
20190802,4.31,
20190801,4.31,
20190731,4.31,
20190730,4.31,
20190729,4.31,
20190726,4.31,
20190725,4.31,
20190724,4.31,
20190723,4.31,
20190722,4.31,
20190719,4.31,
20190718,4.31,
20190717,4.31,
20190716,4.31,
20190715,4.31,
20190712,4.31,
20190711,4.31,
20190710,4.31,
20190709,4.31,
20190708,4.31,
20190705,4.31,
20190704,4.31,
20190703,4.31,
20190702,4.31,
20190701,4.31,
20190628,4.31,
20190627,4.31,
20190626,4.31,
20190625,4.31,
20190624,4.31,
20190621,4.31,
20190620,4.31,
20190619,4.31,
20190618,4.31,
20190617,4.31,
20190614,4.31,
20190613,4.31,
20190612,4.31,
20190611,4.31,
20190610,4.31,
20190606,4.31,
20190605,4.31,
20190604,4.31,
20190603,4.31,
20190531,4.31,
20190530,4.31,
20190529,4.31,
20190528,4.31,
20190527,4.31,
20190524,4.31,
20190523,4.31,
20190522,4.31,
20190521,4.31,
20190520,4.31,
20190517,4.31,
20190516,4.31,
20190515,4.31,
20190514,4.31,
20190513,4.31,
20190510,4.31,
20190509,4.31,
20190508,4.31,
20190507,4.31,
20190506,4.31,
20190430,4.31,
20190429,4.31,
20190426,4.31,
20190425,4.31,
20190424,4.31,
20190423,4.31,
20190422,4.31,
20190419,4.31,
20190418,4.31,
20190417,4.31,
20190416,4.31,
20190415,4.31,
20190412,4.31,
20190411,4.31,
20190410,4.31,
20190409,4.31,
20190408,4.31,
20190404,4.31,
20190403,4.31,
20190402,4.31,
20190401,4.31,
20190329,4.31,
20190328,4.31,
20190327,4.31,
20190326,4.31,
20190325,4.31,
20190322,4.31,
20190321,4.31,
20190320,4.31,
20190319,4.31,
20190318,4.31,
20190315,4.31,
20190314,4.31,
20190313,4.31,
20190312,4.31,
20190311,4.31,
20190308,4.31,
20190307,4.31,
20190306,4.31,
20190305,4.31,
20190304,4.31,
20190301,4.31,
20190228,4.31,
20190227,4.31,
20190226,4.31,
