month,zs_pmi,zs_pmi_yoy,fzs_pmi,fzs_pmi_yoy
202608,49.8,0.8097166,49.0,-2.58449304
202607,49.2,-0.20283976,49.0,-2.19560878
202606,50.3,1.20724346,50.2,-0.59405941
202605,50.0,1.01010101,50.1,-0.39761431
202604,50.3,2.65306122,49.4,-1.98412698
202603,50.4,-0.1980198,50.1,-1.37795276
202602,49.0,-2.39043825,49.5,-1.78571429
202601,49.3,0.40733198,49.4,-1.5936255
202512,50.1,0.0,50.2,-3.83141762
202511,49.2,-2.18687873,49.5,-1.0
202510,49.0,-2.19560878,50.1,-0.19920319
202509,49.8,0.0,50.0,0.0
202508,49.4,0.61099796,50.3,0.0
202507,49.3,-0.20242915,50.1,-0.19920319
202506,49.7,0.4040404,50.5,0.0
202505,49.5,0.0,50.3,-1.56555773
202504,49.0,-2.77777778,50.4,-1.5625
202503,50.5,-0.59055118,50.8,-4.1509434
202502,50.2,2.24032587,50.4,-1.94552529
202501,49.1,-0.20325203,50.2,-0.98619329
202412,50.1,2.24489796,52.2,3.57142857
202411,50.3,1.82186235,50.0,-0.39840637
202410,50.1,1.21212121,50.2,-0.79051383
202409,49.8,-0.79681275,50.0,-3.28820116
202408,49.1,-1.20724346,50.3,-1.37254902
202407,49.4,0.20283976,50.2,-2.52427184
202406,49.5,1.02040816,50.5,-5.07518797
202405,49.5,1.43442623,51.1,-6.23853211
202404,50.4,2.43902439,51.2,-9.21985816
202403,50.8,-2.1194605,53.0,-8.9347079
202402,49.1,-6.6539924,51.4,-8.70337478
202401,49.2,-1.79640719,50.7,-6.80147059
202312,49.0,4.25531915,50.4,21.15384615
202311,49.4,2.91666667,50.2,7.49464668
202310,49.5,0.6097561,50.6,3.90143737
202309,50.2,0.1996008,51.7,2.17391304
202308,49.7,0.60728745,51.0,-3.0418251
202307,49.3,0.6122449,51.5,-4.27509294
202306,49.0,-2.39043825,53.2,-2.74223035
202305,48.8,-1.61290323,54.5,14.0167364
202304,49.2,3.79746835,56.4,34.60620525
202303,51.9,4.84848485,58.2,20.24793388
202302,52.6,4.78087649,56.3,9.10852713
202301,50.1,0.0,54.4,6.45792564
202212,47.0,-6.56063618,41.6,-21.0626186
202211,48.0,-4.19161677,46.7,-10.70745698
202210,49.2,0.0,48.7,-7.0610687
202209,50.1,1.00806452,50.6,-4.88721805
202208,49.4,-1.39720559,52.6,10.73684211
202207,49.0,-2.77777778,53.8,0.9380863
202206,50.2,-1.37524558,54.7,2.24299065
202205,49.6,-2.74509804,47.8,-13.4057971
202204,47.4,-7.2407045,41.9,-23.67941712
202203,49.5,-4.62427746,48.4,-14.03197158
202202,50.2,-0.79051383,51.6,0.38910506
202201,50.1,-2.33918129,51.1,-2.48091603
202112,50.3,-3.08285164,52.7,-5.38599641
202111,50.1,-3.83877159,52.3,-7.26950355
202110,49.2,-4.28015564,52.4,-6.76156584
202109,49.6,-3.68932039,53.2,-4.83005367
202108,50.1,-1.76470588,47.5,-13.94927536
202107,50.4,-1.36986301,53.3,-1.66051661
202106,50.9,0.0,53.5,-1.65441176
202105,51.0,0.79051383,55.2,2.98507463
202104,51.1,0.59055118,54.9,3.19548872
202103,51.9,-0.19230769,56.3,7.64818356
202102,50.6,41.73669468,51.4,73.64864865
202101,51.3,2.6,52.4,-3.14232902
202012,51.9,3.38645418,55.7,4.11214953
202011,52.1,3.78486056,56.4,3.67647059
202010,51.4,4.25963489,56.2,6.43939394
202009,51.5,3.41365462,55.9,4.09683426
202008,51.0,3.03030303,55.2,2.60223048
202007,51.1,2.81690141,54.2,0.9310987
202006,50.9,3.03643725,54.4,0.36900369
202005,50.6,2.4291498,53.6,-1.28913444
202004,50.8,1.39720559,53.2,-2.02578269
202003,52.0,2.97029703,52.3,-4.5620438
202002,35.7,-27.43902439,29.6,-45.48802947
202001,50.0,1.01010101,54.1,-1.09689214
201912,50.2,1.6194332,53.5,-0.55762082
201911,50.2,0.4,54.4,1.87265918
201910,49.3,-1.79282869,52.8,-2.04081633
201909,49.8,-1.96850394,53.7,-2.18579235
201908,49.5,-3.50877193,53.8,-0.73800738
201907,49.7,-2.9296875,53.7,-0.55555556
201906,49.4,-4.0776699,54.2,-1.45454545
201905,49.4,-4.81695568,54.3,-1.09289617
201904,50.1,-2.52918288,54.3,-0.91240876
201903,50.5,-1.94174757,54.8,0.36630037
201902,49.2,-2.18687873,54.3,-0.18382353
201901,49.5,-3.50877193,54.7,-1.08499096
201812,49.4,-4.26356589,53.8,-2.18181818
201811,50.0,-3.47490347,53.4,-2.55474453
201810,50.2,-2.71317829,53.9,-0.73664825
201809,50.8,-3.05343511,54.9,-0.90252708
201808,51.3,-0.77369439,54.2,1.49812734
201807,51.2,-0.38910506,54.0,-0.91743119
201806,51.5,-0.3868472,55.0,0.18214936
201805,51.9,1.3671875,54.9,0.73394495
201804,51.4,0.390625,54.8,1.48148148
201803,51.5,-0.57915058,54.6,-0.90744102
201802,50.3,-2.51937984,54.4,0.36900369
201801,51.3,0.0,55.3,1.28205128
201712,51.6,0.38910506,55.0,0.91743119
201711,51.8,0.1934236,54.8,0.18281536
201710,51.6,0.78125,54.3,0.55555556
201709,52.4,3.96825397,55.4,3.16573557
201708,51.7,2.57936508,53.4,-0.18691589
201707,51.4,3.00601202,54.5,1.11317254
201706,51.7,3.4,54.9,2.23463687
201705,51.2,2.19560878,54.5,2.63653484
201704,51.2,2.19560878,54.0,0.93457944
201703,51.8,3.187251,55.1,2.41635688
201702,51.6,5.30612245,54.2,2.84629981
201701,51.3,3.84615385,54.6,2.05607477
201612,51.4,3.42052314,54.5,0.18382353
201611,51.7,4.23387097,54.7,2.05223881
201610,51.2,2.81124498,54.0,1.69491525
201609,50.4,1.20481928,53.7,0.56179775
201608,50.4,1.4084507,53.5,0.18726592
201607,49.9,-0.2,53.9,0.0
201606,50.0,-0.39840637,53.7,-0.18587361
201605,50.1,-0.19920319,53.1,-0.18796992
201604,50.1,0.0,53.5,0.18726592
201603,50.2,0.1996008,53.8,0.18621974
201602,49.0,-1.80360721,52.7,-2.22634508
201601,49.4,-0.80321285,53.5,-0.37243948
201512,49.7,-0.79840319,54.4,0.55452865
201511,49.6,-1.3916501,53.6,-0.55658627
201510,49.8,-1.96850394,53.1,-1.30111524
201509,49.8,-2.54403131,53.4,-1.11111111
201508,49.7,-2.73972603,53.4,-1.83823529
201507,50.0,-3.28820116,53.9,-0.55350554
201506,50.2,-1.56862745,53.8,-2.18181818
201505,50.2,-1.18110236,53.2,-4.14414414
201504,50.1,-0.5952381,53.4,-2.55474453
201503,50.1,-0.39761431,53.7,-1.46788991
201502,49.9,-0.59760956,53.9,-2.0
201501,49.8,-1.38613861,53.7,0.56179775
201412,50.1,-1.76470588,54.1,-0.91575092
201411,50.3,-2.14007782,53.9,-3.75
201410,50.8,-1.16731518,53.8,-4.44049734
201409,51.1,0.0,54.0,-2.52707581
201408,51.1,0.19607843,54.4,0.92764378
201407,51.7,2.7833002,54.2,0.18484288
201406,51.0,1.79640719,55.0,2.04081633
201405,50.8,0.0,55.5,2.20994475
201404,50.4,-0.39525692,54.8,0.55045872
201403,50.3,-1.17878193,54.5,-1.97841727
201402,50.2,0.1996008,55.0,0.91743119
201401,50.5,0.1984127,53.4,-4.98220641
201312,51.0,0.79051383,54.6,-2.67379679
201311,51.4,1.58102767,56.0,0.71942446
201310,51.4,2.39043825,56.3,1.44144144
201309,51.1,2.61044177,55.4,3.16573557
201308,51.0,3.65853659,53.9,-4.26287744
201307,50.3,0.3992016,54.1,-2.69784173
201306,50.1,-0.19920319,53.9,-4.9382716
201305,50.8,0.79365079,54.3,-1.63043478
201304,50.6,-5.06566604,54.5,-2.85204991
201303,50.9,-4.14312618,55.6,-4.13793103
201302,50.1,-1.76470588,54.5,-4.88656195
201301,50.4,-0.1980198,56.2,0.89766607
201212,50.6,0.59642147,56.1,-0.35523979
201211,50.6,3.26530612,55.6,-0.53667263
201210,50.2,-0.3968254,55.5,0.0
201209,49.8,-2.734375,53.7,-3.76344086
201208,49.2,-3.33988212,56.3,-1.40105079
201207,50.1,-1.18343195,55.6,-2.96684119
201206,50.2,-1.37524558,56.7,0.17667845
201205,50.4,-3.07692308,55.2,-5.96252129
201204,53.3,0.75614367,56.1,-3.60824742
201203,53.1,-0.56179775,58.0,-2.02702703
201202,51.0,-2.29885057,57.3,0.52631579
201201,50.5,-4.536862,55.7,-2.62237762
201112,50.3,-6.67903525,56.3,-4.25170068
201111,49.0,-11.23188406,55.9,-5.09337861
201110,50.4,-7.86106033,55.5,-3.31010453
201109,51.2,-4.83271375,55.8,-3.62694301
201108,50.9,-1.54738878,57.1,-1.55172414
201107,50.7,-0.9765625,57.3,0.3502627
201106,50.9,-2.30326296,56.6,-3.7414966
201105,52.0,-3.52504638,58.7,1.03270224
201104,52.9,-5.02692998,58.2,0.69204152
201103,53.4,-3.08529946,59.2,3.31588133
201102,52.2,0.38461538,57.0,0.0
201101,52.9,-5.19713262,57.2,-1.54905336
201012,53.9,-4.77031802,58.8,0.0
201011,55.2,0.0,58.9,0.85616438
201010,54.7,-0.9057971,57.4,-3.52941176
201009,53.8,-0.92081031,57.9,0.0
201008,51.7,-4.25925926,58.0,1.22164049
201007,51.2,-3.93996248,57.1,-0.34904014
201006,52.1,-2.06766917,58.8,6.13718412
201005,53.9,1.50659134,58.1,5.8287796
201004,55.7,4.11214953,57.8,8.03738318
201003,55.1,5.15267176,57.3,5.33088235
201002,52.0,6.12244898,57.0,3.44827586
201001,55.8,23.17880795,58.1,8.19366853
200912,56.6,37.37864078,58.8,15.7480315
200911,55.2,42.26804124,58.4,14.0625
200910,55.2,23.76681614,59.5,12.0527307
200909,54.3,6.0546875,57.9,5.27272727
200908,54.0,11.57024793,57.3,8.31758034
200907,53.3,10.12396694,57.3,2.87253142
200906,53.2,2.30769231,55.4,-3.48432056
200905,53.1,-0.37523452,54.9,-4.3554007
200904,53.5,-9.62837838,53.5,-8.39041096
200903,52.4,-10.2739726,54.4,-7.64006791
200902,49.0,-8.23970037,55.1,-7.08263069
200901,45.3,-14.52830189,53.7,-10.79734219
200812,41.2,-25.49728752,50.8,-15.61461794
200811,38.8,-29.96389892,51.2,-15.51155116
