date,on,1w,2w,1m,3m,6m,9m,1y
20260902,1.363,1.377,1.405,1.418,1.43,1.45,1.47,1.48
20260901,1.364,1.391,1.404,1.417,1.43,1.45,1.47,1.48
20260831,1.413,1.414,1.423,1.4168,1.43,1.45,1.47,1.48
20260828,1.339,1.387,1.41,1.417,1.43,1.45,1.47,1.48
20260827,1.365,1.394,1.416,1.418,1.43,1.45,1.47,1.48
20260826,1.412,1.424,1.4255,1.4178,1.43,1.45,1.47,1.48
20260825,1.435,1.4535,1.442,1.4178,1.43,1.451,1.47,1.48
20260824,1.419,1.432,1.43,1.4175,1.43,1.45,1.47,1.48
20260821,1.434,1.4256,1.42,1.4173,1.43,1.451,1.47,1.48
20260820,1.384,1.39,1.4,1.4175,1.43,1.45,1.47,1.48
20260819,1.381,1.385,1.4,1.4175,1.43,1.45,1.47,1.48
20260818,1.361,1.38,1.39,1.4165,1.43,1.45,1.47,1.48
20260817,1.362,1.3854,1.395,1.4162,1.43,1.45,1.471,1.48
20260814,1.363,1.39,1.4037,1.4162,1.43,1.45,1.47,1.48
20260813,1.367,1.3991,1.4097,1.4157,1.43,1.45,1.47,1.48
20260812,1.3712,1.3981,1.4069,1.4157,1.43,1.45,1.47,1.481
20260811,1.358,1.394,1.399,1.4167,1.43,1.45,1.47,1.48
20260810,1.377,1.4,1.4,1.417,1.43,1.45,1.47,1.48
20260807,1.361,1.391,1.3953,1.4167,1.43,1.4501,1.47,1.48
20260806,1.353,1.383,1.39,1.416,1.43,1.45,1.47,1.48
20260805,1.3604,1.377,1.393,1.4169,1.43,1.451,1.47,1.48
20260804,1.366,1.388,1.4,1.419,1.43,1.45,1.47,1.48
20260803,1.413,1.431,1.421,1.42,1.43,1.45,1.47,1.48
20260731,1.41,1.453,1.459,1.42,1.43,1.4505,1.47,1.48
20260730,1.4,1.455,1.47,1.42,1.43,1.4515,1.47,1.48
20260729,1.438,1.51,1.481,1.421,1.431,1.4505,1.471,1.481
20260728,1.415,1.46,1.45,1.42,1.43,1.4505,1.47,1.48
20260727,1.418,1.4316,1.425,1.42,1.43,1.45,1.47,1.48
20260724,1.3812,1.4,1.4,1.418,1.428,1.45,1.4691,1.4791
20260723,1.365,1.393,1.403,1.42,1.43,1.45,1.4675,1.4765
20260722,1.373,1.401,1.415,1.42,1.43,1.45,1.4655,1.4755
20260721,1.382,1.401,1.438,1.42,1.43,1.45,1.4635,1.474
20260720,1.412,1.431,1.4345,1.42,1.43,1.4491,1.4642,1.4722
20260717,1.3971,1.435,1.435,1.4199,1.43,1.4459,1.4622,1.4722
20260716,1.389,1.44,1.44,1.419,1.43,1.444,1.462,1.4715
20260715,1.3925,1.4235,1.421,1.4168,1.43,1.444,1.463,1.4723
20260714,1.389,1.402,1.405,1.4132,1.4299,1.4444,1.4624,1.4734
20260713,1.372,1.4,1.4,1.412,1.429,1.4435,1.4635,1.4735
20260710,1.3601,1.383,1.399,1.4109,1.4279,1.444,1.4639,1.4728
20260709,1.36,1.38,1.382,1.4135,1.429,1.4445,1.4635,1.4725
20260708,1.3663,1.381,1.3773,1.4151,1.4312,1.445,1.4639,1.4739
20260707,1.374,1.3825,1.3855,1.4158,1.4319,1.4453,1.4641,1.4742
20260706,1.369,1.39,1.398,1.418,1.4345,1.4475,1.4655,1.4775
20260703,1.369,1.396,1.412,1.421,1.435,1.448,1.467,1.478
20260702,1.406,1.437,1.451,1.426,1.437,1.45,1.47,1.479
20260701,1.403,1.463,1.459,1.426,1.438,1.45,1.47,1.48
20260630,1.36,1.458,1.462,1.426,1.438,1.45,1.47,1.48
20260629,1.356,1.45,1.461,1.427,1.437,1.45,1.47,1.48
20260626,1.371,1.467,1.504,1.43,1.44,1.45,1.4725,1.48
20260625,1.399,1.513,1.517,1.43,1.4395,1.454,1.471,1.481
20260624,1.408,1.548,1.533,1.43,1.436,1.454,1.473,1.484
20260623,1.455,1.497,1.515,1.425,1.431,1.451,1.471,1.482
20260622,1.423,1.475,1.499,1.421,1.43,1.45,1.47,1.48
20260618,1.421,1.462,1.489,1.42,1.43,1.45,1.47,1.48
20260617,1.415,1.464,1.485,1.4185,1.429,1.449,1.468,1.4785
20260616,1.423,1.488,1.49,1.415,1.428,1.449,1.467,1.478
20260615,1.419,1.461,1.461,1.409,1.4225,1.443,1.462,1.472
20260612,1.398,1.453,1.451,1.403,1.414,1.435,1.454,1.465
20260611,1.397,1.441,1.439,1.396,1.408,1.431,1.452,1.463
20260610,1.384,1.413,1.412,1.393,1.402,1.4275,1.45,1.46
20260609,1.384,1.42,1.402,1.391,1.402,1.4275,1.45,1.46
20260608,1.354,1.401,1.395,1.3885,1.402,1.4265,1.447,1.46
20260605,1.324,1.382,1.38,1.3865,1.402,1.4265,1.447,1.459
20260604,1.316,1.348,1.357,1.385,1.4015,1.427,1.447,1.459
20260603,1.316,1.347,1.36,1.386,1.4035,1.428,1.448,1.4605
20260602,1.315,1.353,1.367,1.389,1.4035,1.428,1.449,1.4625
20260601,1.317,1.376,1.379,1.39,1.4065,1.428,1.45,1.4645
20260529,1.324,1.387,1.387,1.39,1.4075,1.429,1.45,1.4655
20260528,1.317,1.362,1.381,1.389,1.4055,1.428,1.45,1.4655
20260527,1.317,1.371,1.388,1.39,1.4045,1.429,1.449,1.4655
20260526,1.319,1.377,1.402,1.391,1.4065,1.429,1.45,1.4665
20260525,1.327,1.401,1.407,1.392,1.4065,1.43,1.45,1.4675
20260522,1.324,1.365,1.372,1.388,1.405,1.429,1.45,1.4685
20260521,1.288,1.331,1.343,1.3855,1.4065,1.429,1.451,1.4655
20260520,1.286,1.339,1.344,1.3855,1.4045,1.43,1.452,1.4655
20260519,1.265,1.32,1.334,1.385,1.404,1.4305,1.4505,1.466
20260518,1.266,1.322,1.337,1.386,1.405,1.4325,1.4545,1.467
20260515,1.267,1.313,1.329,1.388,1.408,1.4335,1.4555,1.468
20260514,1.265,1.305,1.333,1.39,1.406,1.4355,1.4555,1.468
20260513,1.267,1.299,1.338,1.391,1.409,1.436,1.456,1.468
20260512,1.255,1.308,1.343,1.394,1.412,1.438,1.457,1.469
20260511,1.221,1.34,1.355,1.395,1.414,1.441,1.457,1.469
20260509,1.224,1.318,1.357,1.397,1.414,1.444,1.458,1.469
