ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
515480.SH,南方中证红利低波动100ETF,南方基金管理股份有限公司,中信证券股份有限公司,股票型,20260626,,,,,,0.15,0.05,,,,,中证红利低波动100指数收益率×100%,L,,,,,,E
159066.SZ,建信中证A股ETF,建信基金管理有限责任公司,国信证券股份有限公司,股票型,20260624,,,,,,0.15,0.05,,,,,中证A股指数收益率×100%,L,,,,,,E
510140.SH,华夏上证综合ETF,华夏基金管理有限公司,广发证券股份有限公司,股票型,20260624,,,20260601,,,0.15,0.05,,1.0,0.1,,上证综合指数收益率×100%,L,,股票型,,,,E
560920.SH,招商中证工程机械主题ETF,招商基金管理有限公司,华泰证券股份有限公司,股票型,20260624,,,,,,0.5,0.1,,,,,中证工程机械主题指数收益率×100%,L,,,,,,E
561460.SH,天弘中证人工智能主题ETF,天弘基金管理有限公司,中信建投证券股份有限公司,股票型,20260624,,,,,,0.5,0.1,,,,,中证人工智能主题指数收益率×100%,L,,,,,,E
159049.SZ,工银瑞信中证有色金属矿业主题ETF,工银瑞信基金管理有限公司,中信建投证券股份有限公司,股票型,20260623,,,20260601,,,0.5,0.1,,1.0,0.1,,中证有色金属矿业主题指数收益率×100%,L,,股票型,,,,E
589350.SH,银华上证科创板芯片设计主题ETF,银华基金管理股份有限公司,交通银行股份有限公司,股票型,20260618,,20260630,20260601,,,0.5,0.1,,1.0,0.1,,上证科创板芯片设计主题指数收益率×100%,L,,股票型,,,,E
159070.SZ,嘉实中证工程机械主题ETF,嘉实基金管理有限公司,上海浦东发展银行股份有限公司,股票型,20260617,,20260626,20260528,,,0.5,0.1,,1.0,0.1,,中证工程机械主题指数收益率×100%,L,,股票型,,,,E
526030.SH,汇添富中证港股通信息技术综合ETF,汇添富基金管理股份有限公司,招商银行股份有限公司,股票型,20260617,,20260626,20260601,,,0.5,0.1,,1.0,0.1,,中证港股通信息技术综合指数(港元)收益率×100%,L,,股票型,,,,E
561430.SH,博时中证全指红利质量ETF,博时基金管理有限公司,中国建设银行股份有限公司,股票型,20260617,,20260630,,,,0.5,0.1,,,,,中证全指红利质量指数收益率×100%,L,,,,,,E
589290.SH,汇添富上证科创板芯片设计主题ETF,汇添富基金管理股份有限公司,中信建投证券股份有限公司,股票型,20260617,,20260626,20260601,,,0.5,0.1,,1.0,0.1,,上证科创板芯片设计主题指数收益率×100%,L,,股票型,,,,E
589310.SH,鑫元上证科创板人工智能ETF,鑫元基金管理有限公司,中信证券股份有限公司,股票型,20260617,,,,,,0.5,0.1,,,,,上证科创板人工智能指数收益率×100%,L,,,,,,E
589360.SH,国泰上证科创板50成份ETF,国泰基金管理有限公司,中国建设银行股份有限公司,股票型,20260617,,20260626,20260529,,,0.15,0.05,,1.0,0.1,,上证科创板50成份指数收益率×100%,L,,股票型,,,,E
159040.SZ,鹏华中证港股通互联网ETF,鹏华基金管理有限公司,中泰证券股份有限公司,股票型,20260617,,20260626,20260518,,,0.5,0.1,,1.0,0.1,,中证港股通互联网指数(港元)收益率×100%,L,,股票型,,,,E
159045.SZ,大成中证稀有金属主题ETF,大成基金管理有限公司,中泰证券股份有限公司,股票型,20260615,,20260624,20260601,,,0.5,0.1,,1.0,0.1,,中证稀有金属主题指数收益率×100%,L,,股票型,,,,E
159061.SZ,南方国证绿色电力ETF,南方基金管理股份有限公司,广发证券股份有限公司,股票型,20260615,,20260624,20260528,,,0.15,0.05,,1.0,0.1,,国证绿色电力指数收益率×100%,L,,股票型,,,,E
159065.SZ,景顺长城中证工程机械主题ETF,景顺长城基金管理有限公司,中信建投证券股份有限公司,股票型,20260612,,20260626,20260525,,,0.5,0.1,,1.0,0.1,,中证工程机械主题指数收益率×100%,L,,股票型,,,,E
159062.SZ,南方中证稀有金属主题ETF,南方基金管理股份有限公司,国泰海通证券股份有限公司,股票型,20260610,,20260618,20260525,,,0.15,0.05,,1.0,0.1,,中证稀有金属主题指数收益率×100%,L,,股票型,,,,E
159071.SZ,华宝国证新能源电池ETF,华宝基金管理有限公司,招商证券股份有限公司,股票型,20260610,,20260618,20260525,,,0.5,0.1,,1.0,0.1,,国证新能源电池指数收益率×100%,L,,股票型,,,,E
159063.SZ,南方国证粮食产业ETF,南方基金管理股份有限公司,中信证券股份有限公司,股票型,20260605,,20260615,20260520,,,0.15,0.05,,1.0,0.1,,国证粮食产业指数收益率×100%,L,,股票型,,,,E
