ts_code,name,fullname,enname,list_date,delist_date,market,curr_type,list_status,created_at,updated_at
00001.HK,长和,长江和记实业有限公司,CK Hutchison Holdings Ltd.,1972-11-01,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00002.HK,中电控股,中电控股有限公司,CLP Holdings Ltd.,1980-01-02,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00003.HK,香港中华煤气,香港中华煤气有限公司,The Hong Kong and China Gas Co. Ltd.,1960-04-11,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00004.HK,九龙仓集团,九龙仓集团有限公司,The Wharf (Holdings) Limited,1921-01-01,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00005.HK,汇丰控股,汇丰控股有限公司,HSBC Holdings plc,1980-01-02,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00006.HK,电能实业,电能实业有限公司,Power Assets Holdings Limited,1976-08-16,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00007.HK,智富资源投资,智富资源投资控股集团有限公司,Wisdom Wealth Resources Investment Holding Group Limited,2000-09-08,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00008.HK,电讯盈科,电讯盈科有限公司,PCCW Ltd.,1994-10-18,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00010.HK,恒隆集团,恒隆集团有限公司,Hang Lung Group Ltd.,1972-10-12,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00012.HK,恒基地产,恒基兆业地产有限公司,Henderson Land Development Co. Ltd.,1981-07-23,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00013.HK,和黄医药,和黄医药(中国)有限公司,Hutchmed (China) Limited,2021-06-30,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00014.HK,希慎兴业,希慎兴业有限公司,Hysan Development Co. Ltd.,1981-09-18,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00016.HK,新鸿基地产,新鸿基地产发展有限公司,Sun Hung Kai Properties Ltd.,1972-09-08,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00017.HK,新世界发展,新世界发展有限公司,New World Development Co. Ltd.,1972-11-23,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00018.HK,东方传媒集团,东方传媒集团有限公司,Oriental Media Group Limited,1987-08-18,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00019.HK,太古股份公司A,太古股份有限公司A,Swire Pacific Limited A,1959-04-14,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00020.HK,商汤-W,商汤集团股份有限公司,SenseTime Group Inc.,2021-12-30,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00021.HK,大中华控股,大中华控股(香港)有限公司,Great China Holdings (Hong Kong) Limited,1954-03-01,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00022.HK,茂盛控股,茂盛控股有限公司,Mexan Limited,1972-12-14,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00023.HK,东亚银行,东亚银行有限公司,"The Bank of East Asia, Ltd.",1921-01-01,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00025.HK,CHEVALIER INT'L,其士国际集团有限公司,Chevalier International Holdings Ltd.,1984-12-05,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00026.HK,中华汽车,中华汽车有限公司,"China Motor Bus Co., Ltd.",1962-01-01,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00027.HK,银河娱乐,银河娱乐集团有限公司,Galaxy Entertainment Group Limited,1991-10-07,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00028.HK,天安,天安中国投资有限公司,Tian An China Investments Co. Ltd.,1987-03-18,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00029.HK,达力集团,达力集团有限公司,Dynamic Holdings Ltd.,1980-01-04,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00030.HK,云白国际,云白国际有限公司,YNBY International Limited,1991-10-09,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00031.HK,航天控股,中国航天国际控股有限公司,China Aerospace International Holdings Ltd.,1981-08-25,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00032.HK,港通控股,港通控股有限公司,The Cross-Harbour (Holdings) Ltd.,1974-07-30,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00033.HK,INTL GENIUS,International Genius Company,International Genius Company,2007-11-19,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00034.HK,九龙建业,九龙建业有限公司,Kowloon Development Company Limited,1995-07-04,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00035.HK,远东发展,远东发展有限公司,Far East Consortium International Ltd.,1972-09-21,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00036.HK,远东控股国际,远东控股国际有限公司,Far East Holdings International Limited,1973-02-12,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00037.HK,远东酒店实业,远东酒店实业有限公司,Far East Hotels & Entertainment Ltd.,1979-07-03,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00038.HK,第一拖拉机股份,第一拖拉机股份有限公司,First Tractor Company Limited,1997-06-23,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00039.HK,中国北大荒,中国北大荒产业集团控股有限公司,China Beidahuang Industry Group Holdings Limited,2001-01-16,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00040.HK,金山科技工业,金山科技工业有限公司,Gold Peak Technology Group Limited,1984-07-02,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00041.HK,鹰君,鹰君集团有限公司,Great Eagle Holdings Limited,1972-10-26,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00042.HK,东北电气,东北电气发展股份有限公司,Northeast Electric Development Co. Ltd.,1995-07-06,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00045.HK,大酒店,香港上海大酒店有限公司,"The Hongkong and Shanghai Hotels, Limited",1921-01-01,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00046.HK,科联系统,科联系统集团有限公司,Computer And Technologies Holdings Ltd.,1998-05-18,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00048.HK,中国汽车内饰,中国汽车内饰集团有限公司,China Automotive Interior Decoration Holdings Limited,2014-08-25,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00050.HK,香港小轮(集团),香港小轮(集团)有限公司,Hong Kong Ferry (Holdings) Co. Ltd.,1921-01-01,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00051.HK,海港企业,海港企业有限公司,Harbour Centre Development Ltd.,1971-02-15,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00052.HK,大快活集团,大快活集团有限公司,Fairwood Holdings Ltd.,1991-10-09,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00053.HK,国浩集团,国浩集团有限公司,Guoco Group Ltd.,1983-05-03,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00055.HK,中星集团控股,中星集团控股有限公司,Neway Group Holdings Limited,1992-09-10,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00057.HK,震雄集团,震雄集团有限公司,Chen Hsong Holdings Ltd.,1991-10-22,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00058.HK,新威国际,新威国际控股有限公司,Sunway International Holdings Ltd.,1999-09-03,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00059.HK,天誉置业,天誉置业(控股)有限公司,Skyfame Realty (Holdings) Ltd.,1993-11-16,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00060.HK,香港食品投资,香港食品投资控股有限公司,Hong Kong Food Investment Holdings Ltd.,1992-12-16,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00061.HK,绿领控股,绿领控股集团有限公司,Green Leader Holdings Group Limited,1999-07-06,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00062.HK,载通,载通国际控股有限公司,Transport International Holdings Ltd.,1961-05-01,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00063.HK,中亚烯谷集团,中亚烯谷集团有限公司,China Asia Valley Group Limited,1986-02-26,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00064.HK,结好控股,结好控股有限公司,Get Nice Holdings Ltd.,2002-06-06,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00065.HK,弘海高新资源,弘海高新资源有限公司,Grand Ocean Advanced Resources Company Limited,2009-06-22,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00066.HK,港铁公司,香港铁路有限公司,MTR Corporation Ltd.,2000-10-05,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00068.HK,MANYCORE TECH,Manycore Tech Inc.,Manycore Tech Inc.,2026-04-17,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
00069.HK,香格里拉(亚洲),香格里拉(亚洲)有限公司,Shangri-La Asia Ltd.,1993-06-17,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
