ts_code,name,exchange,list_date,delist_date,actual_first_trade,actual_last_trade,status
000001.SH,上证指数,INDEX,,,1990-12-19,2026-07-01,活跃
000001.SZ,平安银行,SZSE,1991-04-03,,2001-01-02,2026-07-01,活跃
000002.SZ,万科Ａ,SZSE,1991-01-29,,2001-01-02,2026-07-01,活跃
000004.SZ,*ST国华,SZSE,1990-12-01,,2001-01-02,2026-07-01,活跃
000006.SZ,深振业Ａ,SZSE,1992-04-27,,2001-01-02,2026-07-01,活跃
000007.SZ,全新好,SZSE,1992-04-13,,2001-01-02,2026-07-01,活跃
000008.SZ,神州高铁,SZSE,1992-05-07,,2001-01-02,2026-07-01,活跃
000009.SZ,中国宝安,SZSE,1991-06-25,,2001-01-02,2026-07-01,活跃
000010.SZ,美丽生态,SZSE,1995-10-27,,2001-01-02,2026-07-01,活跃
000011.SZ,深物业A,SZSE,1992-03-30,,2001-01-02,2026-07-01,活跃
000012.SZ,南玻Ａ,SZSE,1992-02-28,,2001-01-02,2026-07-01,活跃
000014.SZ,沙河股份,SZSE,1992-06-02,,2001-01-02,2026-07-01,活跃
000016.SH,上证50,INDEX,,,2004-01-02,2026-07-01,活跃
000016.SZ,深康佳Ａ,SZSE,1992-03-27,,2001-01-02,2026-07-01,活跃
000017.SZ,深中华A,SZSE,1992-03-31,,2001-01-02,2026-07-01,活跃
000019.SZ,深粮控股,SZSE,1992-10-12,,2001-01-02,2026-07-01,活跃
000020.SZ,深华发Ａ,SZSE,1992-04-28,,2001-01-02,2026-07-01,活跃
000021.SZ,深科技,SZSE,1994-02-02,,2001-01-02,2026-07-01,活跃
000025.SZ,特力Ａ,SZSE,1993-06-21,,2001-01-02,2026-07-01,活跃
000026.SZ,飞亚达,SZSE,1993-06-03,,2001-01-02,2026-07-01,活跃
000027.SZ,深圳能源,SZSE,1993-09-03,,2001-01-02,2026-07-01,活跃
000028.SZ,国药一致,SZSE,1993-08-09,,2001-01-02,2026-07-01,活跃
