ts_code,name,industry,n_ch,channels,mv_yi,pe,npy,or_yoy,roe,gm,ret12m,dist_high,list_age_y,tier
002192.SZ,融捷股份,小金属,4,A/B/E/F,158.0,13.2,1076.0,402.0,24.8,76.0,1.32,0.56,18.8,★★★
688449.SH,联芸科技,半导体,4,B/C/E/F,274.0,45.3,826.0,40.0,24.0,50.0,-0.37,0.67,1.8,★★★
301536.SZ,星宸科技,半导体,4,A/B/E/F,468.0,44.5,620.0,89.0,24.2,55.0,0.77,0.76,2.5,★★★
301031.SZ,中熔电气,电气设备,4,A/B/E/F,131.0,25.2,82.0,63.0,15.0,37.0,0.04,0.52,5.2,★★★
301696.SZ,三瑞智能,电气设备,4,B/C/E/F,364.0,69.3,65.0,69.0,16.2,56.0,1.42,0.62,0.4,★★★
300765.SZ,石药创新,生物制药,3,A/B/F,596.0,58.2,46026.0,209.0,38.2,77.0,0.07,0.82,7.5,★★★
002289.SZ,宇顺电子,元器件,3,B/E/F,98.0,36.4,6381.0,307.0,78.7,39.0,-0.14,0.69,17.0,★★★
300390.SZ,天华新能,电气设备,3,B/E/F,447.0,16.0,2623.0,125.0,18.3,43.0,2.11,0.48,12.1,★★★
002842.SZ,翔鹭钨业,小金属,3,B/E/F,108.0,17.9,2522.0,183.0,33.8,32.0,2.17,0.61,9.6,★★★
688390.SH,固德威,电气设备,3,A/B/E,140.0,31.9,1826.0,53.0,9.9,26.0,-0.19,0.43,6.0,★★★
600540.SH,新赛股份,种植业,3,A/B/F,34.0,,1820.0,77.0,30.8,9.0,0.51,0.79,22.7,★★★
603629.SH,利通电子,元器件,3,B/E/F,386.0,40.9,1275.0,39.0,30.7,47.0,2.51,0.47,7.7,★★★
002636.SZ,金安国纪,元器件,3,A/B/F,600.0,60.3,987.0,66.0,19.4,33.0,3.84,0.66,14.8,★★★
603991.SH,领先股份,半导体,3,B/D/E,270.0,172.6,896.0,1820.0,5.1,20.0,1.99,0.96,9.5,★★★
688110.SH,东芯股份,半导体,3,B/E/F,488.0,84.8,694.0,336.0,17.3,68.0,0.31,0.53,4.8,★★★
002378.SZ,章源钨业,小金属,3,B/E/F,277.0,32.1,497.0,144.0,26.3,25.0,0.89,0.48,16.4,★★★
688790.SH,昂瑞微,半导体,3,A/B/C,97.0,125.0,487.0,-8.0,5.5,20.0,0.41,0.4,0.7,★★★
000603.SZ,盛达资源,铅锌,3,A/B/E,232.0,27.2,456.0,27.0,10.8,69.0,0.79,0.46,30.1,★★★
000506.SZ,招金黄金,黄金,3,B/E/F,175.0,51.3,407.0,85.0,28.3,56.0,0.91,0.66,33.5,★★★
688385.SH,复旦微电,半导体,3,A/B/E,429.0,48.3,339.0,21.0,12.9,57.0,0.07,0.52,5.1,★★★
600961.SH,株冶集团,铅锌,3,B/E/F,261.0,10.5,233.0,36.0,36.8,20.0,0.7,0.66,22.0,★★★
601086.SH,国芳集团,百货,3,A/B/D,109.0,91.7,214.0,10.0,4.4,39.0,0.84,0.98,9.0,★★★
600354.SH,敦煌种业,种植业,3,A/B/F,58.0,42.1,166.0,21.0,18.7,49.0,1.05,0.89,22.7,★★★
300426.SZ,华智数媒,影视音像,3,A/B/F,33.0,,161.0,22.0,32.2,85.0,-0.05,0.68,11.6,★★★
000612.SZ,焦作万方,铝,3,B/E/F,126.0,7.2,130.0,25.0,16.1,38.0,0.48,0.68,30.0,★★★
603459.SH,红板科技,元器件,3,B/C/F,667.0,79.5,125.0,22.0,15.8,24.0,2.39,0.73,0.4,★★★
001337.SZ,四川黄金,黄金,3,B/E/F,213.0,30.8,107.0,87.0,22.3,71.0,0.72,0.69,3.5,★★★
688758.SH,赛分科技,化工原料,3,B/C/E,112.0,60.8,106.0,53.0,8.1,75.0,0.93,0.84,1.7,★★★
