[2026-09-14 01:13:38] ======================================================================
[2026-09-14 01:13:38] 退市股回补 | 目标 180 只 | 待补交易日合计 16,052 | DRY-RUN
[2026-09-14 01:13:38] ======================================================================
  000508.SZ    琼民源A(退)        退市 1999-07-12 | 现有     0 行 | PG MAX 无 | 待补    0 交易日
  000588.SZ    PT粤金曼(退)       退市 2001-06-15 | 现有    72 行 | PG MAX 2001-06-01 | 待补   10 交易日
  000015.SZ    PT中浩A(退)       退市 2001-10-22 | 现有    20 行 | PG MAX 2001-06-08 | 待补   91 交易日
  000556.SZ    PT南洋(退)        退市 2002-05-29 | 现有   115 行 | PG MAX 2002-04-26 | 待补   18 交易日
  000003.SZ    PT金田A(退)       退市 2002-06-14 | 现有    94 行 | PG MAX 2002-04-26 | 待补   30 交易日
  000675.SZ    ST银山(退)        退市 2002-08-20 | 现有   302 行 | PG MAX 2002-04-23 | 待补   80 交易日
  000689.SZ    ST宏业(退)        退市 2002-09-05 | 现有   298 行 | PG MAX 2002-04-18 | 待补   95 交易日
  000653.SZ    ST九州(退)        退市 2002-09-13 | 现有   291 行 | PG MAX 2002-04-10 | 待补  107 交易日
  600813.SH    ST鞍一工(退)       退市 2002-09-16 | 现有   308 行 | PG MAX 2002-04-26 | 待补   96 交易日
  000658.SZ    ST海洋(退)        退市 2002-09-20 | 现有   294 行 | PG MAX 2002-04-12 | 待补  110 交易日
  600709.SH    ST生态(退)        退市 2003-05-23 | 现有   376 行 | PG MAX 2003-04-28 | 待补   12 交易日
  000047.SZ    ST中侨(退)        退市 2003-05-30 | 现有   309 行 | PG MAX 2002-04-29 | 待补  258 交易日
  000412.SZ    ST五环(退)        退市 2003-09-19 | 现有   549 行 | PG MAX 2003-04-25 | 待补   98 交易日
  600646.SH    ST国嘉(退)        退市 2003-09-22 | 现有   548 行 | PG MAX 2003-04-29 | 待补   97 交易日
  000405.SZ    ST鑫光(退)        退市 2004-03-19 | 现有   543 行 | PG MAX 2003-04-25 | 待补  214 交易日
  000660.SZ    *ST南华(退)       退市 2004-09-13 | 现有   781 行 | PG MAX 2004-04-21 | 待补   98 交易日
  600669.SH    *ST鞍成(退)       退市 2004-09-15 | 现有   755 行 | PG MAX 2004-03-18 | 待补  124 交易日
  600878.SH    *ST北科(退)       退市 2004-09-15 | 现有   773 行 | PG MAX 2004-04-16 | 待补  103 交易日
  000013.SZ    *ST石化A(退)      退市 2004-09-20 | 现有   787 行 | PG MAX 2004-04-28 | 待补   98 交易日
  000730.SZ    *ST环保(退)       退市 2004-09-24 | 现有   752 行 | PG MAX 2004-03-12 | 待补  135 交易日
  600670.SH    *ST斯达(退)       退市 2004-09-24 | 现有   781 行 | PG MAX 2004-04-28 | 待补  102 交易日
  000621.SZ    *ST比特(退)       退市 2004-09-27 | 现有   776 行 | PG MAX 2004-04-16 | 待补  111 交易日
  600632.SH    华联商厦(退)        退市 2004-11-18 | 现有   773 行 | PG MAX 2004-04-06 | 待补  152 交易日
  600788.SH    *ST达曼(退)       退市 2005-03-25 | 现有   914 行 | PG MAX 2004-12-31 | 待补   52 交易日
  000765.SZ    *ST华信(退)       退市 2005-07-04 | 现有   749 行 | PG MAX 2004-03-08 | 待补  322 交易日
  600672.SH    *ST华圣(退)       退市 2005-08-05 | 现有  1018 行 | PG MAX 2005-04-27 | 待补   67 交易日
  600852.SH    *ST中川(退)       退市 2005-09-16 | 现有  1022 行 | PG MAX 2005-04-22 | 待补  100 交易日
  600700.SH    *ST数码(退)       退市 2005-09-20 | 现有  1021 行 | PG MAX 2005-04-25 | 待补  101 交易日
  000535.SZ    *ST猴王(退)       退市 2005-09-21 | 现有  1009 行 | PG MAX 2005-04-29 | 待补   98 交易日
  000769.SZ    *ST大菲(退)       退市 2005-09-21 | 现有  1024 行 | PG MAX 2005-04-29 | 待补   98 交易日
  ... 其余 150 只（合计待补 16,052 交易日）
