ts_code,name,industry,sig_date,report_type,npy,or_yoy,mv_yi,pe_ttm
301266.SZ,宇邦新材,电气设备,2026-09-07,2,88.9,10.4,33.9,55.4
600516.SH,方大炭素,矿物制品,2026-08-31,2,213.5,16.6,209.8,100.1
300169.SZ,天晟新材,塑料,2026-08-31,2,109.6,7.6,19.1,31.4
000716.SZ,黑芝麻,食品,2026-08-31,2,302.9,28.5,40.7,
688193.SH,仁度生物,医疗保健,2026-08-31,2,369.9,-2.2,18.1,102.4
300675.SZ,建科院,建筑工程,2026-08-31,2,62.7,-11.3,18.5,
600691.SH,潞化科技,农药化肥,2026-08-31,2,120.1,-8.2,73.7,
300583.SZ,赛托生物,化学制药,2026-08-31,2,157.4,20.7,24.4,250.0
688330.SH,宏力达,电气设备,2026-08-31,2,194.7,2.8,49.1,5.9
002631.SZ,德尔未来,家居用品,2026-08-28,2,60.8,-27.0,75.4,
603135.SH,中重科技,专用机械,2026-08-28,2,90.8,51.8,53.8,
688680.SH,海优新材,塑料,2026-08-28,2,64.3,-3.5,30.3,
002573.SZ,清新环境,环境保护,2026-08-28,2,227.8,-9.5,45.1,
688390.SH,固德威,电气设备,2026-08-28,2,1825.9,53.0,139.6,31.9
301111.SZ,粤万年青,中成药,2026-08-28,2,144.1,-6.5,32.6,549.7
002636.SZ,金安国纪,元器件,2026-08-28,2,986.7,65.7,600.3,60.3
300094.SZ,国联水产,渔业,2026-08-28,2,101.9,-12.5,35.5,
688230.SH,芯导科技,半导体,2026-08-28,2,50.4,27.1,66.1,50.3
002961.SZ,瑞达期货,多元金融,2026-08-28,2,80.0,60.3,92.3,12.7
002466.SZ,天齐锂业,小金属,2026-08-28,2,4925.5,153.3,736.6,15.9
000016.SZ,*ST康佳A,家用电器,2026-08-28,2,54.9,-26.6,,
300215.SZ,电科院,电气设备,2026-08-27,2,200.2,15.7,47.8,80.2
300493.SZ,润欣科技,元器件,2026-08-27,2,54.4,1.8,62.6,87.5
600095.SH,湘财股份,证券,2026-08-27,2,273.7,-95.0,245.3,28.8
688790.SH,昂瑞微,半导体,2026-08-27,2,487.2,-8.4,96.6,125.0
