ts_code,name,industry,mv_yi,pe_ttm,pb,roe,or_yoy,netprofit_yoy,grossprofit_margin,ret12m,ind_or_yoy_med
002192.SZ,融捷股份,小金属,158.23,13.24,3.48,24.8,402.35,1076.14,76.36,1.57,37.18
002240.SZ,盛新锂能,小金属,249.42,25.85,2.21,9.4,355.94,220.3,31.75,1.29,37.18
688110.SH,东芯股份,半导体,487.85,84.78,11.74,17.26,336.44,694.1,67.66,0.4,23.64
002289.SZ,宇顺电子,元器件,98.37,36.39,19.81,78.71,306.79,6380.84,39.3,0.18,12.53
688416.SH,恒烁股份,半导体,77.07,69.48,5.38,10.34,203.21,297.28,44.66,0.69,23.64
002842.SZ,翔鹭钨业,小金属,108.46,17.86,6.58,33.77,182.85,2522.4,32.0,1.96,37.18
002378.SZ,章源钨业,小金属,276.69,32.06,9.59,26.34,143.71,497.38,25.17,0.6,37.18
688530.SH,欧莱新材,半导体,87.38,240.3,9.98,8.25,133.43,1097.78,25.52,1.2,23.64
300390.SZ,天华新能,电气设备,446.69,16.04,3.26,18.28,125.0,2622.89,43.49,2.74,12.57
300613.SZ,富瀚微,半导体,156.02,33.08,4.91,11.32,112.66,1419.2,45.28,0.3,23.64
688308.SH,欧科亿,机械基件,132.33,27.93,4.41,13.18,99.96,47734.24,46.0,1.55,11.35
002497.SZ,雅化集团,小金属,193.63,11.31,1.59,10.62,96.02,795.48,31.7,0.5,37.18
603061.SH,金海通,半导体,264.24,97.26,13.93,9.75,95.41,125.21,53.55,2.79,23.64
301536.SZ,星宸科技,半导体,467.68,44.48,12.05,24.24,89.43,619.5,55.36,0.78,23.64
001337.SZ,四川黄金,黄金,212.56,30.82,10.33,22.26,87.03,107.34,71.01,0.99,44.29
000506.SZ,招金黄金,黄金,174.84,51.28,19.39,28.34,85.13,407.44,55.94,1.14,44.29
688257.SH,新锐股份,机械基件,180.26,26.11,6.28,21.61,80.39,460.51,49.14,1.8,11.35
688127.SH,蓝特光学,元器件,265.29,47.58,11.11,11.89,75.5,163.21,44.14,1.01,12.53
301219.SZ,腾远钴业,小金属,157.27,10.33,1.58,9.13,72.36,87.82,25.82,-0.02,37.18
300855.SZ,图南股份,小金属,139.66,44.85,6.35,11.85,70.9,167.92,40.11,0.35,37.18
688025.SH,杰普特,专用机械,372.39,98.26,14.59,8.06,68.86,105.25,40.8,2.01,11.03
300503.SZ,昊志机电,机械基件,195.7,67.9,12.34,15.66,65.86,266.57,42.45,0.8,11.35
688378.SH,奥来德,专用机械,109.88,49.7,5.23,9.24,64.14,551.02,56.29,0.72,11.03
301128.SZ,强瑞技术,专用机械,154.74,89.52,16.12,9.18,63.68,56.83,29.38,0.58,11.03
301031.SZ,中熔电气,电气设备,130.53,25.18,7.41,15.02,62.77,82.41,36.51,0.41,12.57
301338.SZ,凯格精机,专用机械,144.61,56.27,8.43,8.21,61.53,104.69,40.61,0.76,11.03
301345.SZ,涛涛车业,摩托车,241.21,23.77,6.11,14.28,60.56,57.94,42.35,0.6,11.26
000688.SZ,国城矿业,铅锌,312.15,25.96,9.22,30.29,55.72,16.13,54.01,1.13,35.91
605118.SH,力鼎光电,元器件,135.09,43.88,8.32,11.19,54.39,37.05,49.49,0.56,12.53
688390.SH,固德威,电气设备,139.55,31.86,4.56,9.88,52.96,1825.94,25.76,0.07,12.57
301606.SZ,绿联科技,元器件,221.64,25.75,6.21,12.4,50.92,56.9,39.18,-0.1,12.53
688155.SH,先惠技术,电气设备,62.89,15.35,2.59,8.92,48.49,38.78,26.14,0.16,12.57
002326.SZ,永太科技,化工原料,156.9,92.87,5.3,9.73,43.57,365.74,25.01,0.13,12.36
300458.SZ,全志科技,半导体,292.13,49.41,8.39,14.86,41.23,204.17,43.12,-0.12,23.64
002979.SZ,雷赛智能,专用机械,160.67,53.55,7.85,10.16,39.92,62.79,39.15,-0.17,11.03
002222.SZ,福晶科技,元器件,305.29,92.21,16.09,9.87,39.46,40.97,49.42,0.37,12.53
603629.SH,利通电子,元器件,386.09,40.9,14.65,30.66,38.58,1275.15,46.6,2.39,12.53
603129.SH,春风动力,摩托车,444.33,25.56,5.55,13.72,35.82,6.26,27.26,0.3,11.26
301183.SZ,东田微,元器件,197.78,144.51,19.12,8.74,33.36,71.57,29.88,1.9,12.53
603203.SH,快克智能,专用机械,141.61,90.22,9.65,10.52,31.82,13.97,50.44,0.47,11.03
300693.SZ,盛弘股份,电气设备,117.96,21.61,5.25,10.32,29.16,44.11,40.7,0.06,12.57
605020.SH,永和股份,化工原料,157.13,19.56,2.6,8.7,28.16,89.01,30.43,-0.29,12.36
000603.SZ,盛达资源,铅锌,231.9,27.2,6.17,10.76,27.08,456.46,69.15,1.78,35.91
603530.SH,神马电力,电气设备,185.59,38.17,10.22,11.9,26.98,34.01,47.35,0.61,12.57
