ts_code,weight,name,industry,score,mv_yi,pe_ttm,netprofit_yoy,or_yoy,roe,grossprofit_margin,ret12m,dist_high,gap90
002192.SZ,6.3,融捷股份,小金属,2.21,158.2,13.2,1076.1,402.4,24.8,76.4,132.0,0.56,True
301536.SZ,5.8,星宸科技,半导体,2.03,467.7,44.5,619.5,89.4,24.2,55.4,77.0,0.76,True
300765.SZ,5.7,石药创新,生物制药,1.99,595.5,58.2,46025.7,208.7,38.2,76.7,7.0,0.82,True
002636.SZ,5.6,金安国纪,元器件,1.97,600.3,60.3,986.7,65.7,19.4,33.1,384.0,0.66,True
600540.SH,5.6,新赛股份,种植业,1.96,34.3,,1819.7,77.2,30.8,8.7,51.0,0.79,True
300209.SZ,5.5,行云科技,互联网,1.92,343.6,,540.2,497.1,1.3,34.8,192.0,0.9,True
301666.SZ,5.4,大普微,IT设备,1.89,1627.5,134.8,477.1,531.2,65.7,34.9,271.0,0.44,True
600354.SH,5.3,敦煌种业,种植业,1.85,57.9,42.1,165.7,20.9,18.7,48.6,105.0,0.89,True
688309.SH,5.1,恒誉科技,环境保护,1.78,61.7,58.1,865.6,149.6,10.1,51.4,265.0,0.9,False
603618.SH,4.8,杭电股份,电气设备,1.7,281.5,500.4,938.7,12.7,13.8,18.0,191.0,0.71,True
002842.SZ,4.8,翔鹭钨业,小金属,1.69,108.5,17.9,2522.4,182.9,33.8,32.0,217.0,0.61,False
002491.SZ,4.7,通鼎互联,通信设备,1.66,260.6,120.8,326.0,61.5,7.9,27.8,151.0,0.53,True
300857.SZ,4.6,协创数据,IT设备,1.61,1277.2,49.7,325.5,153.3,35.2,25.1,164.0,0.73,False
688002.SH,4.5,睿创微纳,通信设备,1.6,824.0,40.5,258.8,72.8,17.1,57.8,137.0,0.94,False
002466.SZ,4.5,天齐锂业,小金属,1.58,736.6,15.9,4925.5,153.3,9.4,64.4,5.0,0.63,True
301366.SZ,4.4,一博科技,元器件,1.55,125.9,141.2,1561.5,41.6,2.9,31.4,38.0,0.93,True
301377.SZ,4.4,鼎泰高科,机械基件,1.55,1655.0,173.7,325.1,114.9,23.5,55.9,233.0,0.59,False
000506.SZ,4.4,招金黄金,黄金,1.55,174.8,51.3,407.4,85.1,28.3,55.9,91.0,0.66,False
300426.SZ,4.4,华智数媒,影视音像,1.55,33.1,,160.7,21.5,32.2,85.3,-5.0,0.68,True
601086.SH,4.4,国芳集团,百货,1.54,108.9,91.7,214.1,10.3,4.4,39.3,84.0,0.98,True
